W0918 13:00:36.538000 965724 torch/distributed/run.py:851] 
W0918 13:00:36.538000 965724 torch/distributed/run.py:851] *****************************************
W0918 13:00:36.538000 965724 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0918 13:00:36.538000 965724 torch/distributed/run.py:851] *****************************************
logs/muonh_kmaxwell_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed3.txt
step:0/3125 val_loss:10.98873 train_time:0.001s step_avg:nanms
step:1/3125 train_time:5.628s step_avg:5628.30ms
step:2/3125 train_time:6.176s step_avg:3087.77ms
step:3/3125 train_time:6.523s step_avg:2174.49ms
step:4/3125 train_time:6.870s step_avg:1717.58ms
step:5/3125 train_time:7.218s step_avg:1443.69ms
step:6/3125 train_time:7.567s step_avg:1261.09ms
step:7/3125 train_time:7.916s step_avg:1130.85ms
step:8/3125 train_time:8.268s step_avg:1033.52ms
step:9/3125 train_time:8.617s step_avg:957.45ms
step:10/3125 train_time:8.966s step_avg:896.57ms
step:11/3125 train_time:9.314s step_avg:846.71ms
step:12/3125 train_time:9.661s step_avg:805.11ms
step:13/3125 train_time:10.010s step_avg:770.01ms
step:14/3125 train_time:10.362s step_avg:740.13ms
step:15/3125 train_time:10.713s step_avg:714.17ms
step:16/3125 train_time:11.061s step_avg:691.33ms
step:17/3125 train_time:11.409s step_avg:671.13ms
step:18/3125 train_time:11.759s step_avg:653.29ms
step:19/3125 train_time:12.109s step_avg:637.34ms
step:20/3125 train_time:12.459s step_avg:622.97ms
step:21/3125 train_time:12.809s step_avg:609.95ms
step:22/3125 train_time:13.160s step_avg:598.19ms
step:23/3125 train_time:13.512s step_avg:587.46ms
step:24/3125 train_time:13.861s step_avg:577.53ms
step:25/3125 train_time:14.209s step_avg:568.37ms
step:26/3125 train_time:14.559s step_avg:559.98ms
step:27/3125 train_time:14.910s step_avg:552.23ms
step:28/3125 train_time:15.260s step_avg:544.98ms
step:29/3125 train_time:15.610s step_avg:538.29ms
step:30/3125 train_time:15.961s step_avg:532.03ms
step:31/3125 train_time:16.310s step_avg:526.14ms
step:32/3125 train_time:16.661s step_avg:520.66ms
step:33/3125 train_time:17.012s step_avg:515.52ms
step:34/3125 train_time:17.361s step_avg:510.63ms
step:35/3125 train_time:17.711s step_avg:506.04ms
step:36/3125 train_time:18.063s step_avg:501.75ms
step:37/3125 train_time:18.413s step_avg:497.66ms
step:38/3125 train_time:18.765s step_avg:493.80ms
step:39/3125 train_time:19.116s step_avg:490.16ms
step:40/3125 train_time:19.467s step_avg:486.67ms
step:41/3125 train_time:19.818s step_avg:483.37ms
step:42/3125 train_time:20.170s step_avg:480.25ms
step:43/3125 train_time:20.522s step_avg:477.25ms
step:44/3125 train_time:20.873s step_avg:474.38ms
step:45/3125 train_time:21.224s step_avg:471.65ms
step:46/3125 train_time:21.575s step_avg:469.03ms
step:47/3125 train_time:21.928s step_avg:466.55ms
step:48/3125 train_time:22.280s step_avg:464.17ms
step:49/3125 train_time:22.631s step_avg:461.85ms
step:50/3125 train_time:22.983s step_avg:459.65ms
step:51/3125 train_time:23.332s step_avg:457.49ms
step:52/3125 train_time:23.684s step_avg:455.46ms
step:53/3125 train_time:24.036s step_avg:453.51ms
step:54/3125 train_time:24.387s step_avg:451.61ms
step:55/3125 train_time:24.739s step_avg:449.79ms
step:56/3125 train_time:25.089s step_avg:448.02ms
step:57/3125 train_time:25.442s step_avg:446.34ms
step:58/3125 train_time:25.794s step_avg:444.73ms
step:59/3125 train_time:26.146s step_avg:443.16ms
step:60/3125 train_time:26.500s step_avg:441.66ms
step:61/3125 train_time:26.851s step_avg:440.18ms
step:62/3125 train_time:27.205s step_avg:438.78ms
step:63/3125 train_time:27.556s step_avg:437.40ms
step:64/3125 train_time:27.906s step_avg:436.03ms
step:65/3125 train_time:28.258s step_avg:434.74ms
step:66/3125 train_time:28.610s step_avg:433.48ms
step:67/3125 train_time:28.962s step_avg:432.27ms
step:68/3125 train_time:29.314s step_avg:431.08ms
step:69/3125 train_time:29.665s step_avg:429.93ms
step:70/3125 train_time:30.018s step_avg:428.83ms
step:71/3125 train_time:30.369s step_avg:427.74ms
step:72/3125 train_time:30.721s step_avg:426.67ms
step:73/3125 train_time:31.072s step_avg:425.65ms
step:74/3125 train_time:31.423s step_avg:424.63ms
step:75/3125 train_time:31.774s step_avg:423.65ms
step:76/3125 train_time:32.126s step_avg:422.72ms
step:77/3125 train_time:32.479s step_avg:421.81ms
step:78/3125 train_time:32.831s step_avg:420.91ms
step:79/3125 train_time:33.183s step_avg:420.03ms
step:80/3125 train_time:33.535s step_avg:419.18ms
