W0918 22:47:52.015000 1187565 torch/distributed/run.py:851] 
W0918 22:47:52.015000 1187565 torch/distributed/run.py:851] *****************************************
W0918 22:47:52.015000 1187565 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0918 22:47:52.015000 1187565 torch/distributed/run.py:851] *****************************************
logs/muonh_kmaxwell_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed6.txt
step:0/3125 val_loss:10.92958 train_time:0.000s step_avg:nanms
step:1/3125 train_time:5.307s step_avg:5307.08ms
step:2/3125 train_time:5.830s step_avg:2914.80ms
step:3/3125 train_time:6.175s step_avg:2058.47ms
step:4/3125 train_time:6.524s step_avg:1630.90ms
step:5/3125 train_time:6.871s step_avg:1374.28ms
step:6/3125 train_time:7.220s step_avg:1203.39ms
step:7/3125 train_time:7.571s step_avg:1081.52ms
step:8/3125 train_time:7.918s step_avg:989.78ms
step:9/3125 train_time:8.268s step_avg:918.63ms
step:10/3125 train_time:8.618s step_avg:861.81ms
step:11/3125 train_time:8.966s step_avg:815.13ms
step:12/3125 train_time:9.315s step_avg:776.23ms
step:13/3125 train_time:9.664s step_avg:743.41ms
step:14/3125 train_time:10.015s step_avg:715.33ms
step:15/3125 train_time:10.364s step_avg:690.95ms
step:16/3125 train_time:10.714s step_avg:669.64ms
step:17/3125 train_time:11.063s step_avg:650.78ms
step:18/3125 train_time:11.415s step_avg:634.18ms
step:19/3125 train_time:11.765s step_avg:619.21ms
step:20/3125 train_time:12.116s step_avg:605.80ms
step:21/3125 train_time:12.466s step_avg:593.61ms
step:22/3125 train_time:12.815s step_avg:582.52ms
step:23/3125 train_time:13.166s step_avg:572.43ms
step:24/3125 train_time:13.516s step_avg:563.16ms
step:25/3125 train_time:13.865s step_avg:554.61ms
step:26/3125 train_time:14.214s step_avg:546.70ms
step:27/3125 train_time:14.566s step_avg:539.49ms
step:28/3125 train_time:14.918s step_avg:532.78ms
step:29/3125 train_time:15.268s step_avg:526.48ms
step:30/3125 train_time:15.620s step_avg:520.66ms
step:31/3125 train_time:15.970s step_avg:515.17ms
step:32/3125 train_time:16.320s step_avg:509.99ms
step:33/3125 train_time:16.670s step_avg:505.16ms
step:34/3125 train_time:17.022s step_avg:500.64ms
step:35/3125 train_time:17.373s step_avg:496.37ms
step:36/3125 train_time:17.724s step_avg:492.34ms
step:37/3125 train_time:18.075s step_avg:488.51ms
step:38/3125 train_time:18.424s step_avg:484.85ms
step:39/3125 train_time:18.777s step_avg:481.45ms
step:40/3125 train_time:19.127s step_avg:478.17ms
step:41/3125 train_time:19.479s step_avg:475.09ms
step:42/3125 train_time:19.831s step_avg:472.16ms
step:43/3125 train_time:20.182s step_avg:469.36ms
step:44/3125 train_time:20.534s step_avg:466.68ms
step:45/3125 train_time:20.886s step_avg:464.12ms
step:46/3125 train_time:21.237s step_avg:461.68ms
step:47/3125 train_time:21.589s step_avg:459.34ms
step:48/3125 train_time:21.938s step_avg:457.04ms
step:49/3125 train_time:22.287s step_avg:454.85ms
step:50/3125 train_time:22.640s step_avg:452.80ms
step:51/3125 train_time:22.992s step_avg:450.82ms
step:52/3125 train_time:23.345s step_avg:448.94ms
step:53/3125 train_time:23.697s step_avg:447.12ms
step:54/3125 train_time:24.050s step_avg:445.38ms
step:55/3125 train_time:24.403s step_avg:443.69ms
step:56/3125 train_time:24.755s step_avg:442.05ms
step:57/3125 train_time:25.106s step_avg:440.46ms
step:58/3125 train_time:25.460s step_avg:438.97ms
step:59/3125 train_time:25.812s step_avg:437.49ms
step:60/3125 train_time:26.164s step_avg:436.07ms
step:61/3125 train_time:26.519s step_avg:434.73ms
step:62/3125 train_time:26.871s step_avg:433.40ms
step:63/3125 train_time:27.223s step_avg:432.12ms
step:64/3125 train_time:27.576s step_avg:430.87ms
step:65/3125 train_time:27.927s step_avg:429.64ms
step:66/3125 train_time:28.280s step_avg:428.48ms
