W0918 22:26:44.826000 1177660 torch/distributed/run.py:851] 
W0918 22:26:44.826000 1177660 torch/distributed/run.py:851] *****************************************
W0918 22:26:44.826000 1177660 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0918 22:26:44.826000 1177660 torch/distributed/run.py:851] *****************************************
logs/muonh_fsd_maxentslop_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed7.txt
step:0/3125 val_loss:10.94020 train_time:0.000s step_avg:nanms
step:1/3125 train_time:5.603s step_avg:5602.83ms
step:2/3125 train_time:6.490s step_avg:3245.12ms
step:3/3125 train_time:6.838s step_avg:2279.19ms
step:4/3125 train_time:7.185s step_avg:1796.15ms
step:5/3125 train_time:7.532s step_avg:1506.41ms
step:6/3125 train_time:7.882s step_avg:1313.73ms
step:7/3125 train_time:8.233s step_avg:1176.12ms
step:8/3125 train_time:8.581s step_avg:1072.68ms
step:9/3125 train_time:8.933s step_avg:992.54ms
step:10/3125 train_time:9.282s step_avg:928.21ms
step:11/3125 train_time:9.631s step_avg:875.57ms
step:12/3125 train_time:9.982s step_avg:831.81ms
step:13/3125 train_time:10.332s step_avg:794.80ms
step:14/3125 train_time:10.682s step_avg:763.03ms
step:15/3125 train_time:11.031s step_avg:735.42ms
step:16/3125 train_time:11.381s step_avg:711.34ms
step:17/3125 train_time:11.732s step_avg:690.09ms
step:18/3125 train_time:12.081s step_avg:671.18ms
step:19/3125 train_time:12.431s step_avg:654.24ms
step:20/3125 train_time:12.781s step_avg:639.05ms
step:21/3125 train_time:13.130s step_avg:625.26ms
step:22/3125 train_time:13.480s step_avg:612.72ms
step:23/3125 train_time:13.831s step_avg:601.33ms
step:24/3125 train_time:14.181s step_avg:590.88ms
step:25/3125 train_time:14.531s step_avg:581.25ms
step:26/3125 train_time:14.882s step_avg:572.38ms
step:27/3125 train_time:15.233s step_avg:564.20ms
step:28/3125 train_time:15.584s step_avg:556.57ms
step:29/3125 train_time:15.934s step_avg:549.45ms
step:30/3125 train_time:16.286s step_avg:542.88ms
step:31/3125 train_time:16.637s step_avg:536.67ms
step:32/3125 train_time:16.990s step_avg:530.92ms
step:33/3125 train_time:17.339s step_avg:525.43ms
step:34/3125 train_time:17.690s step_avg:520.29ms
step:35/3125 train_time:18.041s step_avg:515.46ms
step:36/3125 train_time:18.392s step_avg:510.89ms
step:37/3125 train_time:18.743s step_avg:506.57ms
step:38/3125 train_time:19.095s step_avg:502.51ms
step:39/3125 train_time:19.447s step_avg:498.63ms
step:40/3125 train_time:19.799s step_avg:494.97ms
step:41/3125 train_time:20.150s step_avg:491.47ms
step:42/3125 train_time:20.503s step_avg:488.16ms
step:43/3125 train_time:20.855s step_avg:484.99ms
step:44/3125 train_time:21.205s step_avg:481.93ms
step:45/3125 train_time:21.557s step_avg:479.03ms
step:46/3125 train_time:21.909s step_avg:476.28ms
step:47/3125 train_time:22.261s step_avg:473.63ms
step:48/3125 train_time:22.612s step_avg:471.08ms
step:49/3125 train_time:22.966s step_avg:468.69ms
step:50/3125 train_time:23.315s step_avg:466.30ms
step:51/3125 train_time:23.666s step_avg:464.04ms
step:52/3125 train_time:24.018s step_avg:461.89ms
step:53/3125 train_time:24.371s step_avg:459.83ms
step:54/3125 train_time:24.720s step_avg:457.78ms
step:55/3125 train_time:25.071s step_avg:455.83ms
step:56/3125 train_time:25.425s step_avg:454.01ms
step:57/3125 train_time:25.779s step_avg:452.26ms
step:58/3125 train_time:26.131s step_avg:450.53ms
step:59/3125 train_time:26.483s step_avg:448.86ms
step:60/3125 train_time:26.834s step_avg:447.23ms
step:61/3125 train_time:27.187s step_avg:445.69ms
step:62/3125 train_time:27.539s step_avg:444.18ms
step:63/3125 train_time:27.891s step_avg:442.71ms
step:64/3125 train_time:28.243s step_avg:441.30ms
step:65/3125 train_time:28.596s step_avg:439.94ms
step:66/3125 train_time:28.949s step_avg:438.62ms
step:67/3125 train_time:29.301s step_avg:437.32ms
step:68/3125 train_time:29.655s step_avg:436.10ms
step:69/3125 train_time:30.006s step_avg:434.87ms
step:70/3125 train_time:30.358s step_avg:433.69ms
step:71/3125 train_time:30.711s step_avg:432.55ms
step:72/3125 train_time:31.063s step_avg:431.43ms
step:73/3125 train_time:31.416s step_avg:430.36ms
step:74/3125 train_time:31.769s step_avg:429.31ms
step:75/3125 train_time:32.121s step_avg:428.28ms
step:76/3125 train_time:32.474s step_avg:427.28ms
step:77/3125 train_time:32.826s step_avg:426.31ms
