W0918 15:07:19.891000 1055959 torch/distributed/run.py:851] 
W0918 15:07:19.891000 1055959 torch/distributed/run.py:851] *****************************************
W0918 15:07:19.891000 1055959 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0918 15:07:19.891000 1055959 torch/distributed/run.py:851] *****************************************
logs/muonh_kmaxwell_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed1.txt
step:0/3125 val_loss:10.98404 train_time:0.000s step_avg:nanms
step:1/3125 train_time:5.644s step_avg:5643.73ms
step:2/3125 train_time:6.201s step_avg:3100.62ms
step:3/3125 train_time:6.546s step_avg:2181.88ms
step:4/3125 train_time:6.892s step_avg:1722.98ms
step:5/3125 train_time:7.240s step_avg:1447.97ms
step:6/3125 train_time:7.587s step_avg:1264.54ms
step:7/3125 train_time:7.934s step_avg:1133.49ms
step:8/3125 train_time:8.282s step_avg:1035.28ms
step:9/3125 train_time:8.630s step_avg:958.88ms
step:10/3125 train_time:8.978s step_avg:897.80ms
step:11/3125 train_time:9.325s step_avg:847.77ms
step:12/3125 train_time:9.677s step_avg:806.39ms
step:13/3125 train_time:10.025s step_avg:771.15ms
step:14/3125 train_time:10.374s step_avg:741.03ms
step:15/3125 train_time:10.722s step_avg:714.82ms
step:16/3125 train_time:11.072s step_avg:692.01ms
step:17/3125 train_time:11.421s step_avg:671.84ms
step:18/3125 train_time:11.770s step_avg:653.90ms
step:19/3125 train_time:12.118s step_avg:637.82ms
step:20/3125 train_time:12.468s step_avg:623.40ms
step:21/3125 train_time:12.819s step_avg:610.42ms
step:22/3125 train_time:13.169s step_avg:598.57ms
step:23/3125 train_time:13.517s step_avg:587.71ms
step:24/3125 train_time:13.867s step_avg:577.79ms
step:25/3125 train_time:14.217s step_avg:568.70ms
step:26/3125 train_time:14.567s step_avg:560.27ms
step:27/3125 train_time:14.918s step_avg:552.52ms
step:28/3125 train_time:15.268s step_avg:545.27ms
step:29/3125 train_time:15.618s step_avg:538.56ms
step:30/3125 train_time:15.968s step_avg:532.26ms
step:31/3125 train_time:16.317s step_avg:526.37ms
step:32/3125 train_time:16.668s step_avg:520.89ms
step:33/3125 train_time:17.018s step_avg:515.70ms
step:34/3125 train_time:17.369s step_avg:510.84ms
step:35/3125 train_time:17.718s step_avg:506.24ms
step:36/3125 train_time:18.069s step_avg:501.91ms
step:37/3125 train_time:18.419s step_avg:497.80ms
step:38/3125 train_time:18.768s step_avg:493.90ms
step:39/3125 train_time:19.118s step_avg:490.22ms
step:40/3125 train_time:19.469s step_avg:486.71ms
step:41/3125 train_time:19.820s step_avg:483.41ms
step:42/3125 train_time:20.170s step_avg:480.24ms
step:43/3125 train_time:20.519s step_avg:477.19ms
step:44/3125 train_time:20.872s step_avg:474.35ms
step:45/3125 train_time:21.221s step_avg:471.57ms
step:46/3125 train_time:21.571s step_avg:468.93ms
step:47/3125 train_time:21.920s step_avg:466.39ms
step:48/3125 train_time:22.271s step_avg:463.98ms
step:49/3125 train_time:22.621s step_avg:461.64ms
step:50/3125 train_time:22.970s step_avg:459.40ms
step:51/3125 train_time:23.320s step_avg:457.26ms
step:52/3125 train_time:23.670s step_avg:455.20ms
step:53/3125 train_time:24.020s step_avg:453.21ms
step:54/3125 train_time:24.371s step_avg:451.31ms
step:55/3125 train_time:24.721s step_avg:449.47ms
step:56/3125 train_time:25.071s step_avg:447.69ms
step:57/3125 train_time:25.421s step_avg:445.98ms
step:58/3125 train_time:25.771s step_avg:444.32ms
step:59/3125 train_time:26.120s step_avg:442.72ms
step:60/3125 train_time:26.471s step_avg:441.18ms
step:61/3125 train_time:26.821s step_avg:439.69ms
step:62/3125 train_time:27.170s step_avg:438.23ms
step:63/3125 train_time:27.520s step_avg:436.82ms
step:64/3125 train_time:27.870s step_avg:435.47ms
step:65/3125 train_time:28.220s step_avg:434.15ms
step:66/3125 train_time:28.569s step_avg:432.87ms
step:67/3125 train_time:28.918s step_avg:431.62ms
step:68/3125 train_time:29.269s step_avg:430.43ms
step:69/3125 train_time:29.619s step_avg:429.26ms
step:70/3125 train_time:29.969s step_avg:428.13ms
step:71/3125 train_time:30.320s step_avg:427.04ms
step:72/3125 train_time:30.670s step_avg:425.97ms
step:73/3125 train_time:31.020s step_avg:424.93ms
step:74/3125 train_time:31.370s step_avg:423.92ms
step:75/3125 train_time:31.720s step_avg:422.93ms
step:76/3125 train_time:32.070s step_avg:421.97ms
step:77/3125 train_time:32.421s step_avg:421.05ms
step:78/3125 train_time:32.770s step_avg:420.13ms
step:79/3125 train_time:33.120s step_avg:419.25ms
step:80/3125 train_time:33.472s step_avg:418.40ms
step:81/3125 train_time:33.820s step_avg:417.53ms
step:82/3125 train_time:34.169s step_avg:416.70ms
step:83/3125 train_time:34.520s step_avg:415.91ms
step:84/3125 train_time:34.870s step_avg:415.12ms
step:85/3125 train_time:35.219s step_avg:414.34ms
step:86/3125 train_time:35.569s step_avg:413.59ms
step:87/3125 train_time:35.918s step_avg:412.86ms
step:88/3125 train_time:36.269s step_avg:412.15ms
step:89/3125 train_time:36.617s step_avg:411.43ms
step:90/3125 train_time:36.968s step_avg:410.76ms
step:91/3125 train_time:37.317s step_avg:410.08ms
step:92/3125 train_time:37.666s step_avg:409.42ms
step:93/3125 train_time:38.016s step_avg:408.78ms
step:94/3125 train_time:38.366s step_avg:408.14ms
step:95/3125 train_time:38.716s step_avg:407.53ms
step:96/3125 train_time:39.065s step_avg:406.92ms
