W0918 12:17:49.395000 945441 torch/distributed/run.py:851] 
W0918 12:17:49.395000 945441 torch/distributed/run.py:851] *****************************************
W0918 12:17:49.395000 945441 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0918 12:17:49.395000 945441 torch/distributed/run.py:851] *****************************************
logs/muonh_fsd_maxentslop_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed3.txt
step:0/3125 val_loss:10.98873 train_time:0.001s step_avg:nanms
step:1/3125 train_time:5.669s step_avg:5668.57ms
step:2/3125 train_time:6.600s step_avg:3300.12ms
step:3/3125 train_time:6.944s step_avg:2314.80ms
step:4/3125 train_time:7.292s step_avg:1823.05ms
step:5/3125 train_time:7.640s step_avg:1528.03ms
step:6/3125 train_time:7.989s step_avg:1331.56ms
step:7/3125 train_time:8.339s step_avg:1191.27ms
step:8/3125 train_time:8.687s step_avg:1085.92ms
step:9/3125 train_time:9.036s step_avg:1003.97ms
step:10/3125 train_time:9.386s step_avg:938.57ms
step:11/3125 train_time:9.735s step_avg:884.97ms
step:12/3125 train_time:10.084s step_avg:840.36ms
step:13/3125 train_time:10.434s step_avg:802.61ms
step:14/3125 train_time:10.783s step_avg:770.24ms
step:15/3125 train_time:11.133s step_avg:742.20ms
step:16/3125 train_time:11.483s step_avg:717.70ms
step:17/3125 train_time:11.834s step_avg:696.10ms
step:18/3125 train_time:12.183s step_avg:676.83ms
step:19/3125 train_time:12.531s step_avg:659.52ms
step:20/3125 train_time:12.881s step_avg:644.07ms
step:21/3125 train_time:13.231s step_avg:630.03ms
step:22/3125 train_time:13.581s step_avg:617.33ms
step:23/3125 train_time:13.931s step_avg:605.70ms
step:24/3125 train_time:14.281s step_avg:595.03ms
step:25/3125 train_time:14.631s step_avg:585.26ms
step:26/3125 train_time:14.981s step_avg:576.19ms
step:27/3125 train_time:15.332s step_avg:567.84ms
step:28/3125 train_time:15.681s step_avg:560.03ms
step:29/3125 train_time:16.032s step_avg:552.82ms
step:30/3125 train_time:16.382s step_avg:546.07ms
step:31/3125 train_time:16.731s step_avg:539.72ms
step:32/3125 train_time:17.081s step_avg:533.79ms
step:33/3125 train_time:17.433s step_avg:528.26ms
step:34/3125 train_time:17.783s step_avg:523.01ms
step:35/3125 train_time:18.132s step_avg:518.06ms
step:36/3125 train_time:18.483s step_avg:513.43ms
step:37/3125 train_time:18.834s step_avg:509.04ms
step:38/3125 train_time:19.184s step_avg:504.85ms
step:39/3125 train_time:19.536s step_avg:500.92ms
step:40/3125 train_time:19.887s step_avg:497.18ms
step:41/3125 train_time:20.239s step_avg:493.64ms
step:42/3125 train_time:20.591s step_avg:490.26ms
step:43/3125 train_time:20.940s step_avg:486.98ms
step:44/3125 train_time:21.292s step_avg:483.91ms
step:45/3125 train_time:21.644s step_avg:480.97ms
step:46/3125 train_time:21.996s step_avg:478.17ms
step:47/3125 train_time:22.347s step_avg:475.48ms
step:48/3125 train_time:22.699s step_avg:472.90ms
step:49/3125 train_time:23.051s step_avg:470.44ms
step:50/3125 train_time:23.403s step_avg:468.06ms
step:51/3125 train_time:23.752s step_avg:465.73ms
step:52/3125 train_time:24.104s step_avg:463.53ms
step:53/3125 train_time:24.456s step_avg:461.44ms
step:54/3125 train_time:24.808s step_avg:459.41ms
step:55/3125 train_time:25.159s step_avg:457.44ms
step:56/3125 train_time:25.510s step_avg:455.54ms
step:57/3125 train_time:25.860s step_avg:453.68ms
step:58/3125 train_time:26.210s step_avg:451.90ms
step:59/3125 train_time:26.563s step_avg:450.21ms
step:60/3125 train_time:26.915s step_avg:448.58ms
step:61/3125 train_time:27.268s step_avg:447.01ms
step:62/3125 train_time:27.619s step_avg:445.47ms
step:63/3125 train_time:27.971s step_avg:443.99ms
step:64/3125 train_time:28.325s step_avg:442.58ms
step:65/3125 train_time:28.675s step_avg:441.16ms
step:66/3125 train_time:29.029s step_avg:439.83ms
step:67/3125 train_time:29.380s step_avg:438.51ms
step:68/3125 train_time:29.733s step_avg:437.25ms
step:69/3125 train_time:30.084s step_avg:436.00ms
step:70/3125 train_time:30.437s step_avg:434.82ms
step:71/3125 train_time:30.789s step_avg:433.65ms
step:72/3125 train_time:31.140s step_avg:432.50ms
step:73/3125 train_time:31.493s step_avg:431.42ms
step:74/3125 train_time:31.844s step_avg:430.32ms
step:75/3125 train_time:32.196s step_avg:429.28ms
step:76/3125 train_time:32.548s step_avg:428.26ms
step:77/3125 train_time:32.900s step_avg:427.27ms
step:78/3125 train_time:33.251s step_avg:426.29ms
step:79/3125 train_time:33.603s step_avg:425.36ms
step:80/3125 train_time:33.956s step_avg:424.45ms
step:81/3125 train_time:34.309s step_avg:423.57ms
step:82/3125 train_time:34.660s step_avg:422.69ms
step:83/3125 train_time:35.014s step_avg:421.85ms
step:84/3125 train_time:35.365s step_avg:421.01ms
step:85/3125 train_time:35.717s step_avg:420.20ms
step:86/3125 train_time:36.069s step_avg:419.41ms
step:87/3125 train_time:36.420s step_avg:418.62ms
step:88/3125 train_time:36.773s step_avg:417.88ms
step:89/3125 train_time:37.126s step_avg:417.14ms
step:90/3125 train_time:37.479s step_avg:416.43ms
step:91/3125 train_time:37.831s step_avg:415.73ms
step:92/3125 train_time:38.183s step_avg:415.03ms
step:93/3125 train_time:38.535s step_avg:414.35ms
step:94/3125 train_time:38.887s step_avg:413.69ms
step:95/3125 train_time:39.240s step_avg:413.05ms
step:96/3125 train_time:39.592s step_avg:412.41ms
step:97/3125 train_time:39.944s step_avg:411.79ms
step:98/3125 train_time:40.294s step_avg:411.17ms
step:99/3125 train_time:40.647s step_avg:410.58ms
step:100/3125 train_time:40.999s step_avg:409.99ms
step:101/3125 train_time:41.350s step_avg:409.41ms
step:102/3125 train_time:41.702s step_avg:408.85ms
step:103/3125 train_time:42.054s step_avg:408.29ms
step:104/3125 train_time:42.406s step_avg:407.75ms
step:105/3125 train_time:42.759s step_avg:407.23ms
step:106/3125 train_time:43.109s step_avg:406.69ms
step:107/3125 train_time:43.462s step_avg:406.19ms
step:108/3125 train_time:43.813s step_avg:405.68ms
step:109/3125 train_time:44.165s step_avg:405.19ms
step:110/3125 train_time:44.517s step_avg:404.70ms
step:111/3125 train_time:44.867s step_avg:404.21ms
step:112/3125 train_time:45.219s step_avg:403.74ms
step:113/3125 train_time:45.570s step_avg:403.28ms
step:114/3125 train_time:45.921s step_avg:402.82ms
step:115/3125 train_time:46.273s step_avg:402.38ms
