W0918 20:25:25.920000 1128014 torch/distributed/run.py:851] 
W0918 20:25:25.920000 1128014 torch/distributed/run.py:851] *****************************************
W0918 20:25:25.920000 1128014 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0918 20:25:25.920000 1128014 torch/distributed/run.py:851] *****************************************
logs/muonh_kmaxwell_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed5.txt
step:0/3125 val_loss:10.99928 train_time:0.003s step_avg:nanms
step:1/3125 train_time:5.623s step_avg:5623.29ms
step:2/3125 train_time:6.144s step_avg:3071.79ms
step:3/3125 train_time:6.489s step_avg:2163.10ms
step:4/3125 train_time:6.839s step_avg:1709.70ms
step:5/3125 train_time:7.189s step_avg:1437.82ms
step:6/3125 train_time:7.538s step_avg:1256.32ms
step:7/3125 train_time:7.888s step_avg:1126.79ms
step:8/3125 train_time:8.236s step_avg:1029.50ms
step:9/3125 train_time:8.584s step_avg:953.75ms
step:10/3125 train_time:8.932s step_avg:893.24ms
step:11/3125 train_time:9.282s step_avg:843.84ms
step:12/3125 train_time:9.633s step_avg:802.73ms
step:13/3125 train_time:9.983s step_avg:767.91ms
step:14/3125 train_time:10.331s step_avg:737.96ms
step:15/3125 train_time:10.683s step_avg:712.18ms
step:16/3125 train_time:11.034s step_avg:689.62ms
step:17/3125 train_time:11.384s step_avg:669.63ms
step:18/3125 train_time:11.735s step_avg:651.97ms
step:19/3125 train_time:12.086s step_avg:636.10ms
step:20/3125 train_time:12.435s step_avg:621.73ms
step:21/3125 train_time:12.786s step_avg:608.86ms
step:22/3125 train_time:13.136s step_avg:597.08ms
step:23/3125 train_time:13.487s step_avg:586.39ms
step:24/3125 train_time:13.838s step_avg:576.57ms
step:25/3125 train_time:14.188s step_avg:567.53ms
step:26/3125 train_time:14.540s step_avg:559.22ms
step:27/3125 train_time:14.892s step_avg:551.54ms
step:28/3125 train_time:15.243s step_avg:544.38ms
step:29/3125 train_time:15.594s step_avg:537.73ms
step:30/3125 train_time:15.946s step_avg:531.52ms
step:31/3125 train_time:16.297s step_avg:525.71ms
step:32/3125 train_time:16.649s step_avg:520.27ms
step:33/3125 train_time:17.000s step_avg:515.14ms
step:34/3125 train_time:17.350s step_avg:510.31ms
step:35/3125 train_time:17.702s step_avg:505.76ms
step:36/3125 train_time:18.052s step_avg:501.45ms
step:37/3125 train_time:18.402s step_avg:497.36ms
step:38/3125 train_time:18.756s step_avg:493.58ms
step:39/3125 train_time:19.108s step_avg:489.94ms
step:40/3125 train_time:19.459s step_avg:486.48ms
step:41/3125 train_time:19.812s step_avg:483.21ms
step:42/3125 train_time:20.164s step_avg:480.09ms
step:43/3125 train_time:20.515s step_avg:477.08ms
step:44/3125 train_time:20.867s step_avg:474.25ms
step:45/3125 train_time:21.217s step_avg:471.50ms
step:46/3125 train_time:21.567s step_avg:468.84ms
step:47/3125 train_time:21.920s step_avg:466.38ms
step:48/3125 train_time:22.273s step_avg:464.02ms
step:49/3125 train_time:22.624s step_avg:461.71ms
step:50/3125 train_time:22.976s step_avg:459.52ms
step:51/3125 train_time:23.327s step_avg:457.40ms
step:52/3125 train_time:23.680s step_avg:455.38ms
step:53/3125 train_time:24.034s step_avg:453.47ms
step:54/3125 train_time:24.385s step_avg:451.58ms
step:55/3125 train_time:24.738s step_avg:449.79ms
step:56/3125 train_time:25.091s step_avg:448.05ms
step:57/3125 train_time:25.443s step_avg:446.36ms
step:58/3125 train_time:25.794s step_avg:444.73ms
step:59/3125 train_time:26.147s step_avg:443.17ms
step:60/3125 train_time:26.499s step_avg:441.65ms
step:61/3125 train_time:26.851s step_avg:440.19ms
step:62/3125 train_time:27.202s step_avg:438.75ms
step:63/3125 train_time:27.555s step_avg:437.38ms
step:64/3125 train_time:27.907s step_avg:436.05ms
step:65/3125 train_time:28.259s step_avg:434.75ms
step:66/3125 train_time:28.612s step_avg:433.52ms
step:67/3125 train_time:28.965s step_avg:432.31ms
step:68/3125 train_time:29.315s step_avg:431.11ms
step:69/3125 train_time:29.667s step_avg:429.96ms
step:70/3125 train_time:30.020s step_avg:428.85ms
step:71/3125 train_time:30.372s step_avg:427.77ms
step:72/3125 train_time:30.725s step_avg:426.73ms
step:73/3125 train_time:31.077s step_avg:425.71ms
step:74/3125 train_time:31.428s step_avg:424.71ms
step:75/3125 train_time:31.781s step_avg:423.75ms
step:76/3125 train_time:32.135s step_avg:422.83ms
step:77/3125 train_time:32.489s step_avg:421.93ms
step:78/3125 train_time:32.840s step_avg:421.02ms
step:79/3125 train_time:33.190s step_avg:420.13ms
step:80/3125 train_time:33.543s step_avg:419.29ms
step:81/3125 train_time:33.894s step_avg:418.44ms
step:82/3125 train_time:34.247s step_avg:417.65ms
step:83/3125 train_time:34.600s step_avg:416.87ms
step:84/3125 train_time:34.950s step_avg:416.08ms
step:85/3125 train_time:35.305s step_avg:415.35ms
step:86/3125 train_time:35.656s step_avg:414.60ms
step:87/3125 train_time:36.009s step_avg:413.90ms
step:88/3125 train_time:36.360s step_avg:413.18ms
step:89/3125 train_time:36.713s step_avg:412.50ms
step:90/3125 train_time:37.066s step_avg:411.84ms
step:91/3125 train_time:37.419s step_avg:411.19ms
step:92/3125 train_time:37.771s step_avg:410.55ms
step:93/3125 train_time:38.123s step_avg:409.92ms
step:94/3125 train_time:38.474s step_avg:409.30ms
step:95/3125 train_time:38.826s step_avg:408.70ms
step:96/3125 train_time:39.178s step_avg:408.10ms
step:97/3125 train_time:39.530s step_avg:407.52ms
step:98/3125 train_time:39.881s step_avg:406.95ms
step:99/3125 train_time:40.234s step_avg:406.40ms
step:100/3125 train_time:40.586s step_avg:405.86ms
step:101/3125 train_time:40.937s step_avg:405.32ms
step:102/3125 train_time:41.290s step_avg:404.80ms
step:103/3125 train_time:41.642s step_avg:404.29ms
step:104/3125 train_time:41.994s step_avg:403.78ms
step:105/3125 train_time:42.346s step_avg:403.29ms
step:106/3125 train_time:42.698s step_avg:402.81ms
step:107/3125 train_time:43.050s step_avg:402.33ms
step:108/3125 train_time:43.402s step_avg:401.87ms
step:109/3125 train_time:43.754s step_avg:401.41ms
step:110/3125 train_time:44.106s step_avg:400.96ms
step:111/3125 train_time:44.458s step_avg:400.52ms
step:112/3125 train_time:44.812s step_avg:400.11ms
step:113/3125 train_time:45.163s step_avg:399.67ms
step:114/3125 train_time:45.513s step_avg:399.24ms
step:115/3125 train_time:45.865s step_avg:398.83ms
step:116/3125 train_time:46.217s step_avg:398.42ms
step:117/3125 train_time:46.567s step_avg:398.01ms
step:118/3125 train_time:46.918s step_avg:397.61ms
step:119/3125 train_time:47.271s step_avg:397.24ms
step:120/3125 train_time:47.623s step_avg:396.86ms
step:121/3125 train_time:47.974s step_avg:396.48ms
step:122/3125 train_time:48.327s step_avg:396.12ms
step:123/3125 train_time:48.678s step_avg:395.75ms
step:124/3125 train_time:49.030s step_avg:395.40ms
step:125/3125 train_time:49.381s step_avg:395.05ms
step:125/3125 val_loss:4.89537 train_time:49.396s step_avg:395.14ms
step:126/3125 train_time:49.738s step_avg:394.75ms
step:127/3125 train_time:50.090s step_avg:394.41ms
step:128/3125 train_time:50.442s step_avg:394.08ms
step:129/3125 train_time:50.794s step_avg:393.75ms
step:130/3125 train_time:51.145s step_avg:393.43ms
step:131/3125 train_time:51.496s step_avg:393.10ms
step:132/3125 train_time:51.847s step_avg:392.78ms
step:133/3125 train_time:52.199s step_avg:392.47ms
step:134/3125 train_time:52.550s step_avg:392.16ms
step:135/3125 train_time:52.903s step_avg:391.87ms
step:136/3125 train_time:53.252s step_avg:391.56ms
step:137/3125 train_time:53.604s step_avg:391.27ms
step:138/3125 train_time:53.956s step_avg:390.99ms
step:139/3125 train_time:54.307s step_avg:390.70ms
step:140/3125 train_time:54.659s step_avg:390.42ms
step:141/3125 train_time:55.010s step_avg:390.14ms
step:142/3125 train_time:55.362s step_avg:389.88ms
step:143/3125 train_time:55.714s step_avg:389.61ms
step:144/3125 train_time:56.066s step_avg:389.35ms
step:145/3125 train_time:56.417s step_avg:389.09ms
step:146/3125 train_time:56.769s step_avg:388.83ms
step:147/3125 train_time:57.122s step_avg:388.58ms
