W0918 20:25:25.920000 1128014 torch/distributed/run.py:851] 
W0918 20:25:25.920000 1128014 torch/distributed/run.py:851] *****************************************
W0918 20:25:25.920000 1128014 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0918 20:25:25.920000 1128014 torch/distributed/run.py:851] *****************************************
logs/muonh_kmaxwell_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed5.txt
step:0/3125 val_loss:10.99928 train_time:0.003s step_avg:nanms
step:1/3125 train_time:5.623s step_avg:5623.29ms
step:148/3125 train_time:57.473s step_avg:388.33ms
step:149/3125 train_time:57.823s step_avg:388.08ms
step:150/3125 train_time:58.175s step_avg:387.83ms
step:151/3125 train_time:58.526s step_avg:387.59ms
step:152/3125 train_time:58.876s step_avg:387.34ms
step:153/3125 train_time:59.228s step_avg:387.11ms
step:154/3125 train_time:59.578s step_avg:386.87ms
step:155/3125 train_time:59.929s step_avg:386.64ms
step:156/3125 train_time:60.280s step_avg:386.41ms
step:157/3125 train_time:60.632s step_avg:386.19ms
step:158/3125 train_time:60.982s step_avg:385.96ms
step:159/3125 train_time:61.334s step_avg:385.75ms
step:160/3125 train_time:61.685s step_avg:385.53ms
step:161/3125 train_time:62.035s step_avg:385.31ms
step:162/3125 train_time:62.386s step_avg:385.10ms
step:163/3125 train_time:62.736s step_avg:384.89ms
step:164/3125 train_time:63.087s step_avg:384.68ms
step:165/3125 train_time:63.440s step_avg:384.48ms
step:166/3125 train_time:63.791s step_avg:384.28ms
step:167/3125 train_time:64.144s step_avg:384.09ms
step:168/3125 train_time:64.494s step_avg:383.90ms
step:169/3125 train_time:64.845s step_avg:383.70ms
step:170/3125 train_time:65.196s step_avg:383.51ms
step:171/3125 train_time:65.546s step_avg:383.31ms
step:172/3125 train_time:65.896s step_avg:383.12ms
step:173/3125 train_time:66.248s step_avg:382.93ms
step:174/3125 train_time:66.599s step_avg:382.75ms
step:175/3125 train_time:66.949s step_avg:382.57ms
step:176/3125 train_time:67.301s step_avg:382.39ms
step:177/3125 train_time:67.652s step_avg:382.21ms
step:178/3125 train_time:68.001s step_avg:382.03ms
step:179/3125 train_time:68.353s step_avg:381.86ms
step:180/3125 train_time:68.703s step_avg:381.68ms
step:181/3125 train_time:69.052s step_avg:381.50ms
step:182/3125 train_time:69.403s step_avg:381.34ms
step:183/3125 train_time:69.754s step_avg:381.17ms
step:184/3125 train_time:70.104s step_avg:381.00ms
step:185/3125 train_time:70.456s step_avg:380.84ms
step:186/3125 train_time:70.807s step_avg:380.68ms
step:187/3125 train_time:71.157s step_avg:380.52ms
step:188/3125 train_time:71.509s step_avg:380.36ms
step:189/3125 train_time:71.859s step_avg:380.21ms
step:190/3125 train_time:72.209s step_avg:380.05ms
step:191/3125 train_time:72.861s step_avg:381.47ms
step:192/3125 train_time:73.211s step_avg:381.31ms
step:193/3125 train_time:73.562s step_avg:381.15ms
step:194/3125 train_time:73.913s step_avg:380.99ms
step:195/3125 train_time:74.263s step_avg:380.84ms
step:196/3125 train_time:74.613s step_avg:380.68ms
step:197/3125 train_time:74.963s step_avg:380.52ms
step:198/3125 train_time:75.314s step_avg:380.37ms
step:199/3125 train_time:75.664s step_avg:380.22ms
step:200/3125 train_time:76.014s step_avg:380.07ms
step:201/3125 train_time:76.365s step_avg:379.92ms
step:202/3125 train_time:76.715s step_avg:379.78ms
step:203/3125 train_time:77.066s step_avg:379.64ms
step:204/3125 train_time:77.418s step_avg:379.50ms
step:205/3125 train_time:77.767s step_avg:379.35ms
step:206/3125 train_time:78.118s step_avg:379.21ms
step:207/3125 train_time:78.469s step_avg:379.08ms
step:208/3125 train_time:78.819s step_avg:378.94ms
step:209/3125 train_time:79.168s step_avg:378.80ms
step:210/3125 train_time:79.519s step_avg:378.66ms
step:211/3125 train_time:79.869s step_avg:378.53ms
step:212/3125 train_time:80.219s step_avg:378.39ms
step:213/3125 train_time:80.570s step_avg:378.26ms
step:214/3125 train_time:80.921s step_avg:378.14ms
step:215/3125 train_time:81.270s step_avg:378.00ms
step:216/3125 train_time:81.621s step_avg:377.87ms
step:217/3125 train_time:81.972s step_avg:377.75ms
step:218/3125 train_time:82.321s step_avg:377.62ms
step:219/3125 train_time:82.672s step_avg:377.50ms
step:220/3125 train_time:83.023s step_avg:377.38ms
step:221/3125 train_time:83.373s step_avg:377.25ms
step:222/3125 train_time:83.722s step_avg:377.13ms
step:223/3125 train_time:84.073s step_avg:377.01ms
step:224/3125 train_time:84.423s step_avg:376.89ms
step:225/3125 train_time:84.773s step_avg:376.77ms
step:226/3125 train_time:85.124s step_avg:376.65ms
step:227/3125 train_time:85.474s step_avg:376.54ms
step:228/3125 train_time:85.824s step_avg:376.42ms
step:229/3125 train_time:86.173s step_avg:376.30ms
step:230/3125 train_time:86.524s step_avg:376.19ms
step:231/3125 train_time:86.875s step_avg:376.08ms
step:232/3125 train_time:87.224s step_avg:375.96ms
step:233/3125 train_time:87.574s step_avg:375.86ms
step:234/3125 train_time:87.925s step_avg:375.75ms
step:235/3125 train_time:88.275s step_avg:375.64ms
step:236/3125 train_time:88.623s step_avg:375.52ms
step:237/3125 train_time:88.974s step_avg:375.42ms
step:238/3125 train_time:89.326s step_avg:375.32ms
step:239/3125 train_time:89.675s step_avg:375.21ms
step:240/3125 train_time:90.025s step_avg:375.10ms
step:241/3125 train_time:90.375s step_avg:375.00ms
step:242/3125 train_time:90.725s step_avg:374.90ms
step:243/3125 train_time:91.074s step_avg:374.79ms
step:244/3125 train_time:91.425s step_avg:374.69ms
step:245/3125 train_time:91.776s step_avg:374.60ms
step:246/3125 train_time:92.125s step_avg:374.49ms
step:247/3125 train_time:92.475s step_avg:374.39ms
step:248/3125 train_time:92.824s step_avg:374.29ms
step:249/3125 train_time:93.175s step_avg:374.20ms
step:250/3125 train_time:93.526s step_avg:374.10ms
step:250/3125 val_loss:4.24132 train_time:93.541s step_avg:353.16ms
step:251/3125 train_time:93.879s step_avg:374.02ms
step:252/3125 train_time:94.228s step_avg:373.92ms
step:253/3125 train_time:94.578s step_avg:373.82ms
step:254/3125 train_time:94.929s step_avg:373.74ms
step:255/3125 train_time:95.279s step_avg:373.64ms
step:256/3125 train_time:95.629s step_avg:373.55ms
step:257/3125 train_time:95.980s step_avg:373.46ms
step:258/3125 train_time:96.331s step_avg:373.37ms
step:259/3125 train_time:96.681s step_avg:373.29ms
step:260/3125 train_time:97.032s step_avg:373.20ms
step:261/3125 train_time:97.383s step_avg:373.12ms
step:262/3125 train_time:97.733s step_avg:373.03ms
step:263/3125 train_time:98.083s step_avg:372.94ms
step:264/3125 train_time:98.433s step_avg:372.85ms
step:265/3125 train_time:98.783s step_avg:372.76ms
step:266/3125 train_time:99.133s step_avg:372.68ms
step:267/3125 train_time:99.483s step_avg:372.59ms
step:268/3125 train_time:99.834s step_avg:372.51ms
step:269/3125 train_time:100.183s step_avg:372.43ms
step:270/3125 train_time:100.534s step_avg:372.35ms
step:271/3125 train_time:100.884s step_avg:372.26ms
step:272/3125 train_time:101.233s step_avg:372.18ms
step:273/3125 train_time:101.583s step_avg:372.10ms
step:274/3125 train_time:101.935s step_avg:372.03ms
step:275/3125 train_time:102.284s step_avg:371.94ms
step:276/3125 train_time:102.634s step_avg:371.86ms
step:277/3125 train_time:102.984s step_avg:371.78ms
step:278/3125 train_time:103.335s step_avg:371.71ms
step:279/3125 train_time:103.683s step_avg:371.62ms
step:280/3125 train_time:104.033s step_avg:371.55ms
step:281/3125 train_time:104.384s step_avg:371.47ms
step:282/3125 train_time:104.734s step_avg:371.40ms
step:283/3125 train_time:105.083s step_avg:371.32ms
step:284/3125 train_time:105.434s step_avg:371.25ms
step:285/3125 train_time:105.785s step_avg:371.17ms
step:286/3125 train_time:106.133s step_avg:371.10ms
step:287/3125 train_time:106.484s step_avg:371.02ms
step:288/3125 train_time:106.835s step_avg:370.95ms
step:289/3125 train_time:107.185s step_avg:370.88ms
step:290/3125 train_time:107.535s step_avg:370.81ms
step:291/3125 train_time:107.886s step_avg:370.74ms
step:292/3125 train_time:108.235s step_avg:370.67ms
step:293/3125 train_time:108.584s step_avg:370.59ms
step:294/3125 train_time:108.934s step_avg:370.52ms
step:295/3125 train_time:109.284s step_avg:370.45ms
step:296/3125 train_time:109.633s step_avg:370.38ms
step:297/3125 train_time:109.982s step_avg:370.31ms
step:298/3125 train_time:110.332s step_avg:370.24ms
step:299/3125 train_time:110.682s step_avg:370.17ms
step:300/3125 train_time:111.031s step_avg:370.10ms
step:301/3125 train_time:111.382s step_avg:370.04ms
step:302/3125 train_time:111.732s step_avg:369.97ms
step:303/3125 train_time:112.081s step_avg:369.91ms
step:304/3125 train_time:112.432s step_avg:369.84ms
step:305/3125 train_time:112.783s step_avg:369.78ms
step:306/3125 train_time:113.133s step_avg:369.71ms
step:307/3125 train_time:113.483s step_avg:369.65ms
step:308/3125 train_time:113.834s step_avg:369.59ms
step:309/3125 train_time:114.183s step_avg:369.53ms
step:310/3125 train_time:114.534s step_avg:369.46ms
step:311/3125 train_time:114.885s step_avg:369.41ms
step:312/3125 train_time:115.234s step_avg:369.34ms
step:313/3125 train_time:115.584s step_avg:369.28ms
step:314/3125 train_time:115.935s step_avg:369.22ms
step:315/3125 train_time:116.286s step_avg:369.16ms
step:316/3125 train_time:116.635s step_avg:369.10ms
step:317/3125 train_time:116.986s step_avg:369.04ms
step:318/3125 train_time:117.336s step_avg:368.98ms
step:319/3125 train_time:117.686s step_avg:368.92ms
step:320/3125 train_time:118.037s step_avg:368.87ms
step:321/3125 train_time:118.387s step_avg:368.81ms
step:322/3125 train_time:118.736s step_avg:368.74ms
step:323/3125 train_time:119.086s step_avg:368.69ms
step:324/3125 train_time:119.437s step_avg:368.63ms
step:325/3125 train_time:119.787s step_avg:368.58ms
step:326/3125 train_time:120.137s step_avg:368.52ms
step:327/3125 train_time:120.489s step_avg:368.47ms
step:328/3125 train_time:120.838s step_avg:368.41ms
step:329/3125 train_time:121.188s step_avg:368.35ms
step:330/3125 train_time:121.539s step_avg:368.30ms
step:331/3125 train_time:121.889s step_avg:368.24ms
step:332/3125 train_time:122.238s step_avg:368.19ms
step:333/3125 train_time:122.589s step_avg:368.14ms
step:334/3125 train_time:122.938s step_avg:368.08ms
step:335/3125 train_time:123.288s step_avg:368.02ms
step:336/3125 train_time:123.639s step_avg:367.97ms
step:337/3125 train_time:123.988s step_avg:367.92ms
step:338/3125 train_time:124.338s step_avg:367.86ms
step:339/3125 train_time:124.689s step_avg:367.81ms
step:340/3125 train_time:125.038s step_avg:367.76ms
step:341/3125 train_time:125.388s step_avg:367.71ms
step:342/3125 train_time:125.738s step_avg:367.65ms
step:343/3125 train_time:126.087s step_avg:367.60ms
step:344/3125 train_time:126.436s step_avg:367.55ms
step:345/3125 train_time:126.785s step_avg:367.49ms
step:346/3125 train_time:127.136s step_avg:367.44ms
step:347/3125 train_time:127.486s step_avg:367.40ms
step:348/3125 train_time:127.835s step_avg:367.34ms
step:349/3125 train_time:128.185s step_avg:367.29ms
step:350/3125 train_time:128.536s step_avg:367.24ms
step:351/3125 train_time:128.885s step_avg:367.20ms
step:352/3125 train_time:129.236s step_avg:367.15ms
step:353/3125 train_time:129.586s step_avg:367.10ms
step:354/3125 train_time:129.937s step_avg:367.05ms
step:355/3125 train_time:130.286s step_avg:367.00ms
step:356/3125 train_time:130.638s step_avg:366.96ms
step:357/3125 train_time:130.987s step_avg:366.91ms
step:358/3125 train_time:131.336s step_avg:366.86ms
step:359/3125 train_time:131.687s step_avg:366.82ms
step:360/3125 train_time:132.037s step_avg:366.77ms
step:361/3125 train_time:132.386s step_avg:366.72ms
step:362/3125 train_time:132.736s step_avg:366.67ms
step:363/3125 train_time:133.086s step_avg:366.63ms
step:364/3125 train_time:133.437s step_avg:366.58ms
step:365/3125 train_time:133.785s step_avg:366.53ms
step:366/3125 train_time:134.135s step_avg:366.49ms
step:367/3125 train_time:134.484s step_avg:366.44ms
step:368/3125 train_time:134.833s step_avg:366.39ms
step:369/3125 train_time:135.183s step_avg:366.35ms
step:370/3125 train_time:135.534s step_avg:366.31ms
step:371/3125 train_time:135.883s step_avg:366.26ms
step:372/3125 train_time:136.232s step_avg:366.21ms
step:373/3125 train_time:136.583s step_avg:366.17ms
step:374/3125 train_time:136.933s step_avg:366.13ms
step:375/3125 train_time:137.282s step_avg:366.09ms
step:375/3125 val_loss:4.03174 train_time:137.298s step_avg:350.06ms
step:376/3125 train_time:137.637s step_avg:366.05ms
step:377/3125 train_time:137.986s step_avg:366.01ms
step:378/3125 train_time:138.336s step_avg:365.97ms
step:379/3125 train_time:138.686s step_avg:365.93ms
step:380/3125 train_time:139.035s step_avg:365.88ms
step:381/3125 train_time:139.413s step_avg:365.91ms
step:382/3125 train_time:139.762s step_avg:365.87ms
step:383/3125 train_time:140.111s step_avg:365.83ms
step:384/3125 train_time:140.461s step_avg:365.78ms
step:385/3125 train_time:140.810s step_avg:365.74ms
step:386/3125 train_time:141.159s step_avg:365.70ms
step:387/3125 train_time:141.509s step_avg:365.66ms
step:388/3125 train_time:141.858s step_avg:365.61ms
step:389/3125 train_time:142.208s step_avg:365.57ms
step:390/3125 train_time:142.558s step_avg:365.53ms
step:391/3125 train_time:142.908s step_avg:365.49ms
step:392/3125 train_time:143.260s step_avg:365.46ms
step:393/3125 train_time:143.608s step_avg:365.42ms
step:394/3125 train_time:143.958s step_avg:365.38ms
step:395/3125 train_time:144.308s step_avg:365.34ms
step:396/3125 train_time:144.657s step_avg:365.30ms
step:397/3125 train_time:145.005s step_avg:365.25ms
step:398/3125 train_time:145.356s step_avg:365.22ms
step:399/3125 train_time:145.706s step_avg:365.18ms
step:400/3125 train_time:146.055s step_avg:365.14ms
step:401/3125 train_time:146.404s step_avg:365.10ms
step:402/3125 train_time:146.755s step_avg:365.06ms
step:403/3125 train_time:147.106s step_avg:365.03ms
step:404/3125 train_time:147.455s step_avg:364.99ms
step:405/3125 train_time:147.804s step_avg:364.95ms
step:406/3125 train_time:148.155s step_avg:364.91ms
step:407/3125 train_time:148.504s step_avg:364.88ms
step:408/3125 train_time:148.853s step_avg:364.84ms
step:409/3125 train_time:149.202s step_avg:364.80ms
step:410/3125 train_time:149.553s step_avg:364.76ms
step:411/3125 train_time:149.904s step_avg:364.73ms
step:412/3125 train_time:150.253s step_avg:364.69ms
step:413/3125 train_time:150.603s step_avg:364.66ms
step:414/3125 train_time:150.954s step_avg:364.62ms
step:415/3125 train_time:151.303s step_avg:364.59ms
step:416/3125 train_time:151.652s step_avg:364.55ms
step:417/3125 train_time:152.003s step_avg:364.52ms
step:418/3125 train_time:152.352s step_avg:364.48ms
step:419/3125 train_time:152.701s step_avg:364.44ms
step:420/3125 train_time:153.051s step_avg:364.41ms
step:421/3125 train_time:153.400s step_avg:364.37ms
step:422/3125 train_time:153.751s step_avg:364.34ms
step:423/3125 train_time:154.102s step_avg:364.31ms
step:424/3125 train_time:154.451s step_avg:364.27ms
step:425/3125 train_time:154.799s step_avg:364.23ms
step:426/3125 train_time:155.149s step_avg:364.20ms
step:427/3125 train_time:155.500s step_avg:364.17ms
step:428/3125 train_time:155.849s step_avg:364.13ms
step:429/3125 train_time:156.198s step_avg:364.10ms
step:430/3125 train_time:156.549s step_avg:364.07ms
step:431/3125 train_time:156.899s step_avg:364.03ms
step:432/3125 train_time:157.248s step_avg:364.00ms
step:433/3125 train_time:157.598s step_avg:363.97ms
step:434/3125 train_time:157.946s step_avg:363.93ms
step:435/3125 train_time:158.296s step_avg:363.90ms
step:436/3125 train_time:158.645s step_avg:363.87ms
step:437/3125 train_time:158.995s step_avg:363.83ms
step:438/3125 train_time:159.343s step_avg:363.80ms
step:439/3125 train_time:159.693s step_avg:363.76ms
step:440/3125 train_time:160.042s step_avg:363.73ms
step:441/3125 train_time:160.392s step_avg:363.70ms
step:442/3125 train_time:160.741s step_avg:363.67ms
step:443/3125 train_time:161.091s step_avg:363.64ms
step:444/3125 train_time:161.442s step_avg:363.61ms
step:445/3125 train_time:161.792s step_avg:363.58ms
step:446/3125 train_time:162.141s step_avg:363.55ms
step:447/3125 train_time:162.490s step_avg:363.51ms
step:448/3125 train_time:162.842s step_avg:363.49ms
step:449/3125 train_time:163.191s step_avg:363.45ms
step:450/3125 train_time:163.540s step_avg:363.42ms
step:451/3125 train_time:163.890s step_avg:363.39ms
step:452/3125 train_time:164.241s step_avg:363.36ms
step:453/3125 train_time:164.590s step_avg:363.33ms
step:454/3125 train_time:164.941s step_avg:363.31ms
step:455/3125 train_time:165.293s step_avg:363.28ms
step:456/3125 train_time:165.642s step_avg:363.25ms
step:457/3125 train_time:165.991s step_avg:363.22ms
step:458/3125 train_time:166.343s step_avg:363.19ms
step:459/3125 train_time:166.691s step_avg:363.16ms
step:460/3125 train_time:167.040s step_avg:363.13ms
step:461/3125 train_time:167.392s step_avg:363.11ms
step:462/3125 train_time:167.741s step_avg:363.08ms
step:463/3125 train_time:168.090s step_avg:363.05ms
step:464/3125 train_time:168.441s step_avg:363.02ms
step:465/3125 train_time:168.792s step_avg:362.99ms
step:466/3125 train_time:169.142s step_avg:362.97ms
step:467/3125 train_time:169.490s step_avg:362.93ms
step:468/3125 train_time:169.840s step_avg:362.91ms
step:469/3125 train_time:170.191s step_avg:362.88ms
step:470/3125 train_time:170.540s step_avg:362.85ms
step:471/3125 train_time:170.890s step_avg:362.82ms
step:472/3125 train_time:171.240s step_avg:362.80ms
step:473/3125 train_time:171.589s step_avg:362.77ms
step:474/3125 train_time:171.940s step_avg:362.74ms
step:475/3125 train_time:172.289s step_avg:362.71ms
step:476/3125 train_time:172.639s step_avg:362.69ms
step:477/3125 train_time:172.988s step_avg:362.66ms
step:478/3125 train_time:173.339s step_avg:362.63ms
step:479/3125 train_time:173.688s step_avg:362.60ms
step:480/3125 train_time:174.038s step_avg:362.58ms
step:481/3125 train_time:174.389s step_avg:362.55ms
step:482/3125 train_time:174.738s step_avg:362.53ms
step:483/3125 train_time:175.088s step_avg:362.50ms
step:484/3125 train_time:175.437s step_avg:362.47ms
step:485/3125 train_time:175.787s step_avg:362.45ms
step:486/3125 train_time:176.137s step_avg:362.42ms
step:487/3125 train_time:176.486s step_avg:362.39ms
step:488/3125 train_time:176.837s step_avg:362.37ms
step:489/3125 train_time:177.187s step_avg:362.35ms
step:490/3125 train_time:177.536s step_avg:362.32ms
step:491/3125 train_time:177.886s step_avg:362.29ms
step:492/3125 train_time:178.236s step_avg:362.27ms
step:493/3125 train_time:178.585s step_avg:362.24ms
step:494/3125 train_time:178.935s step_avg:362.22ms
step:495/3125 train_time:179.286s step_avg:362.19ms
step:496/3125 train_time:179.634s step_avg:362.17ms
step:497/3125 train_time:179.983s step_avg:362.14ms
step:498/3125 train_time:180.335s step_avg:362.12ms
step:499/3125 train_time:180.683s step_avg:362.09ms
step:500/3125 train_time:181.032s step_avg:362.06ms
step:500/3125 val_loss:3.91876 train_time:181.047s step_avg:349.99ms
step:501/3125 train_time:181.385s step_avg:362.05ms
step:502/3125 train_time:181.734s step_avg:362.02ms
step:503/3125 train_time:182.082s step_avg:361.99ms
step:504/3125 train_time:182.433s step_avg:361.97ms
step:505/3125 train_time:182.782s step_avg:361.94ms
step:506/3125 train_time:183.131s step_avg:361.92ms
step:507/3125 train_time:183.479s step_avg:361.89ms
step:508/3125 train_time:183.829s step_avg:361.87ms
