W0918 20:03:43.675000 1116918 torch/distributed/run.py:851] 
W0918 20:03:43.675000 1116918 torch/distributed/run.py:851] *****************************************
W0918 20:03:43.675000 1116918 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0918 20:03:43.675000 1116918 torch/distributed/run.py:851] *****************************************
logs/muonh_kmaxwell_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed4.txt
step:0/3125 val_loss:10.95395 train_time:0.002s step_avg:nanms
step:1/3125 train_time:5.639s step_avg:5638.64ms
step:2/3125 train_time:6.188s step_avg:3094.12ms
step:3/3125 train_time:6.534s step_avg:2177.97ms
step:4/3125 train_time:6.883s step_avg:1720.81ms
step:5/3125 train_time:7.232s step_avg:1446.41ms
step:6/3125 train_time:7.583s step_avg:1263.89ms
step:7/3125 train_time:7.933s step_avg:1133.25ms
step:8/3125 train_time:8.282s step_avg:1035.30ms
step:9/3125 train_time:8.632s step_avg:959.10ms
step:10/3125 train_time:8.982s step_avg:898.24ms
step:11/3125 train_time:9.332s step_avg:848.40ms
step:12/3125 train_time:9.684s step_avg:807.04ms
step:13/3125 train_time:10.035s step_avg:771.96ms
step:14/3125 train_time:10.385s step_avg:741.79ms
step:15/3125 train_time:10.733s step_avg:715.56ms
step:16/3125 train_time:11.085s step_avg:692.81ms
step:17/3125 train_time:11.435s step_avg:672.62ms
step:18/3125 train_time:11.785s step_avg:654.73ms
step:19/3125 train_time:12.136s step_avg:638.75ms
step:20/3125 train_time:12.487s step_avg:624.35ms
step:21/3125 train_time:12.836s step_avg:611.22ms
step:22/3125 train_time:13.187s step_avg:599.40ms
step:23/3125 train_time:13.538s step_avg:588.60ms
step:24/3125 train_time:13.888s step_avg:578.65ms
step:25/3125 train_time:14.239s step_avg:569.55ms
step:26/3125 train_time:14.589s step_avg:561.12ms
step:27/3125 train_time:14.939s step_avg:553.28ms
step:28/3125 train_time:15.290s step_avg:546.06ms
step:29/3125 train_time:15.641s step_avg:539.33ms
step:30/3125 train_time:15.991s step_avg:533.02ms
step:31/3125 train_time:16.343s step_avg:527.19ms
step:32/3125 train_time:16.693s step_avg:521.65ms
step:33/3125 train_time:17.043s step_avg:516.45ms
step:34/3125 train_time:17.394s step_avg:511.58ms
step:35/3125 train_time:17.745s step_avg:506.99ms
step:36/3125 train_time:18.095s step_avg:502.64ms
step:37/3125 train_time:18.446s step_avg:498.55ms
step:38/3125 train_time:18.798s step_avg:494.68ms
step:39/3125 train_time:19.148s step_avg:490.96ms
step:40/3125 train_time:19.500s step_avg:487.49ms
step:41/3125 train_time:19.851s step_avg:484.16ms
step:42/3125 train_time:20.203s step_avg:481.01ms
step:43/3125 train_time:20.556s step_avg:478.04ms
step:44/3125 train_time:20.907s step_avg:475.15ms
step:45/3125 train_time:21.259s step_avg:472.41ms
step:46/3125 train_time:21.610s step_avg:469.78ms
step:47/3125 train_time:21.960s step_avg:467.24ms
step:48/3125 train_time:22.312s step_avg:464.84ms
step:49/3125 train_time:22.663s step_avg:462.51ms
step:50/3125 train_time:23.012s step_avg:460.25ms
step:51/3125 train_time:23.365s step_avg:458.13ms
step:52/3125 train_time:23.717s step_avg:456.10ms
step:53/3125 train_time:24.068s step_avg:454.10ms
step:54/3125 train_time:24.419s step_avg:452.21ms
step:55/3125 train_time:24.771s step_avg:450.38ms
step:56/3125 train_time:25.124s step_avg:448.64ms
step:57/3125 train_time:25.476s step_avg:446.95ms
step:58/3125 train_time:25.828s step_avg:445.31ms
step:59/3125 train_time:26.181s step_avg:443.74ms
step:60/3125 train_time:26.533s step_avg:442.22ms
step:61/3125 train_time:26.886s step_avg:440.75ms
step:62/3125 train_time:27.238s step_avg:439.32ms
step:63/3125 train_time:27.590s step_avg:437.94ms
step:64/3125 train_time:27.941s step_avg:436.58ms
step:65/3125 train_time:28.292s step_avg:435.26ms
step:66/3125 train_time:28.644s step_avg:433.99ms
step:67/3125 train_time:28.995s step_avg:432.76ms
