W0918 19:20:58.595000 1094943 torch/distributed/run.py:851] 
W0918 19:20:58.595000 1094943 torch/distributed/run.py:851] *****************************************
W0918 19:20:58.595000 1094943 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0918 19:20:58.595000 1094943 torch/distributed/run.py:851] *****************************************
logs/muonh_fsd_maxentslop_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed4.txt
step:0/3125 val_loss:10.95395 train_time:0.001s step_avg:nanms
step:1/3125 train_time:17.382s step_avg:17382.39ms
step:2/3125 train_time:18.068s step_avg:9034.21ms
step:3/3125 train_time:18.412s step_avg:6137.46ms
step:4/3125 train_time:18.759s step_avg:4689.72ms
step:5/3125 train_time:19.106s step_avg:3821.27ms
step:6/3125 train_time:19.455s step_avg:3242.42ms
step:7/3125 train_time:19.803s step_avg:2829.07ms
step:8/3125 train_time:20.151s step_avg:2518.83ms
step:9/3125 train_time:20.497s step_avg:2277.47ms
step:10/3125 train_time:20.842s step_avg:2084.24ms
step:11/3125 train_time:21.190s step_avg:1926.36ms
step:12/3125 train_time:21.539s step_avg:1794.94ms
step:13/3125 train_time:21.888s step_avg:1683.68ms
step:14/3125 train_time:22.237s step_avg:1588.36ms
step:15/3125 train_time:22.586s step_avg:1505.73ms
step:16/3125 train_time:22.936s step_avg:1433.48ms
step:17/3125 train_time:23.285s step_avg:1369.69ms
step:18/3125 train_time:23.634s step_avg:1312.98ms
step:19/3125 train_time:23.982s step_avg:1262.21ms
step:20/3125 train_time:24.333s step_avg:1216.64ms
step:21/3125 train_time:24.683s step_avg:1175.36ms
step:22/3125 train_time:25.031s step_avg:1137.76ms
step:23/3125 train_time:25.381s step_avg:1103.50ms
step:24/3125 train_time:25.731s step_avg:1072.11ms
step:25/3125 train_time:26.080s step_avg:1043.21ms
step:26/3125 train_time:26.430s step_avg:1016.53ms
step:27/3125 train_time:26.781s step_avg:991.88ms
step:28/3125 train_time:27.130s step_avg:968.92ms
step:29/3125 train_time:27.479s step_avg:947.55ms
step:30/3125 train_time:27.830s step_avg:927.66ms
step:31/3125 train_time:28.180s step_avg:909.03ms
step:32/3125 train_time:28.529s step_avg:891.54ms
step:33/3125 train_time:28.879s step_avg:875.13ms
step:34/3125 train_time:29.229s step_avg:859.68ms
step:35/3125 train_time:29.579s step_avg:845.12ms
step:36/3125 train_time:29.930s step_avg:831.40ms
step:37/3125 train_time:30.279s step_avg:818.36ms
step:38/3125 train_time:30.630s step_avg:806.04ms
step:39/3125 train_time:30.980s step_avg:794.36ms
step:40/3125 train_time:31.331s step_avg:783.27ms
step:41/3125 train_time:31.682s step_avg:772.73ms
step:42/3125 train_time:32.032s step_avg:762.68ms
step:43/3125 train_time:32.382s step_avg:753.06ms
step:44/3125 train_time:32.734s step_avg:743.95ms
step:45/3125 train_time:33.083s step_avg:735.19ms
step:46/3125 train_time:33.434s step_avg:726.83ms
step:47/3125 train_time:33.782s step_avg:718.76ms
step:48/3125 train_time:34.133s step_avg:711.10ms
step:49/3125 train_time:34.482s step_avg:703.71ms
step:50/3125 train_time:34.833s step_avg:696.67ms
step:51/3125 train_time:35.184s step_avg:689.88ms
step:52/3125 train_time:35.534s step_avg:683.35ms
step:53/3125 train_time:35.886s step_avg:677.09ms
step:54/3125 train_time:36.237s step_avg:671.06ms
step:55/3125 train_time:36.586s step_avg:665.21ms
step:56/3125 train_time:36.937s step_avg:659.59ms
step:57/3125 train_time:37.288s step_avg:654.17ms
step:58/3125 train_time:37.637s step_avg:648.92ms
step:59/3125 train_time:37.990s step_avg:643.90ms
step:60/3125 train_time:38.340s step_avg:639.00ms
step:61/3125 train_time:38.690s step_avg:634.26ms
step:62/3125 train_time:39.042s step_avg:629.70ms
step:63/3125 train_time:39.393s step_avg:625.29ms
step:64/3125 train_time:39.743s step_avg:620.99ms
step:65/3125 train_time:40.094s step_avg:616.82ms
step:66/3125 train_time:40.445s step_avg:612.81ms
step:67/3125 train_time:40.794s step_avg:608.87ms
step:68/3125 train_time:41.146s step_avg:605.08ms
step:69/3125 train_time:41.498s step_avg:601.42ms
step:70/3125 train_time:41.848s step_avg:597.84ms
step:71/3125 train_time:42.200s step_avg:594.36ms
step:72/3125 train_time:42.551s step_avg:590.99ms
step:73/3125 train_time:42.903s step_avg:587.71ms
step:74/3125 train_time:43.254s step_avg:584.52ms
step:75/3125 train_time:43.606s step_avg:581.41ms
step:76/3125 train_time:43.957s step_avg:578.38ms
step:77/3125 train_time:44.309s step_avg:575.44ms
step:78/3125 train_time:44.660s step_avg:572.57ms
step:79/3125 train_time:45.011s step_avg:569.76ms
step:80/3125 train_time:45.362s step_avg:567.03ms
step:81/3125 train_time:45.715s step_avg:564.39ms
step:82/3125 train_time:46.066s step_avg:561.78ms
step:83/3125 train_time:46.417s step_avg:559.24ms
step:84/3125 train_time:46.768s step_avg:556.76ms
step:85/3125 train_time:47.118s step_avg:554.33ms
step:86/3125 train_time:47.469s step_avg:551.97ms
step:87/3125 train_time:47.821s step_avg:549.66ms
step:88/3125 train_time:48.172s step_avg:547.40ms
step:89/3125 train_time:48.523s step_avg:545.20ms
step:90/3125 train_time:48.875s step_avg:543.06ms
