W0918 11:56:17.909000 933751 torch/distributed/run.py:851] 
W0918 11:56:17.909000 933751 torch/distributed/run.py:851] *****************************************
W0918 11:56:17.909000 933751 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0918 11:56:17.909000 933751 torch/distributed/run.py:851] *****************************************
logs/muonh_fsd_maxentslop_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed2.txt
step:0/3125 val_loss:10.98214 train_time:0.000s step_avg:nanms
step:1/3125 train_time:5.710s step_avg:5710.28ms
step:2/3125 train_time:6.601s step_avg:3300.46ms
step:3/3125 train_time:6.944s step_avg:2314.52ms
step:4/3125 train_time:7.289s step_avg:1822.36ms
step:5/3125 train_time:7.635s step_avg:1527.01ms
step:6/3125 train_time:7.981s step_avg:1330.21ms
step:7/3125 train_time:8.328s step_avg:1189.69ms
step:8/3125 train_time:8.674s step_avg:1084.20ms
step:9/3125 train_time:9.021s step_avg:1002.32ms
step:10/3125 train_time:9.369s step_avg:936.92ms
step:11/3125 train_time:9.716s step_avg:883.27ms
step:12/3125 train_time:10.062s step_avg:838.48ms
step:13/3125 train_time:10.409s step_avg:800.72ms
step:14/3125 train_time:10.755s step_avg:768.22ms
step:15/3125 train_time:11.101s step_avg:740.08ms
step:16/3125 train_time:11.450s step_avg:715.62ms
step:17/3125 train_time:11.797s step_avg:693.94ms
step:18/3125 train_time:12.144s step_avg:674.66ms
step:19/3125 train_time:12.492s step_avg:657.46ms
step:20/3125 train_time:12.837s step_avg:641.87ms
step:21/3125 train_time:13.183s step_avg:627.75ms
step:22/3125 train_time:13.531s step_avg:615.04ms
step:23/3125 train_time:13.878s step_avg:603.39ms
step:24/3125 train_time:14.227s step_avg:592.80ms
step:25/3125 train_time:14.573s step_avg:582.93ms
step:26/3125 train_time:14.921s step_avg:573.88ms
step:27/3125 train_time:15.268s step_avg:565.48ms
step:28/3125 train_time:15.616s step_avg:557.72ms
step:29/3125 train_time:15.964s step_avg:550.48ms
