W0922 10:35:36.051000 207019 torch/distributed/run.py:851] 
W0922 10:35:36.051000 207019 torch/distributed/run.py:851] *****************************************
W0922 10:35:36.051000 207019 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0922 10:35:36.051000 207019 torch/distributed/run.py:851] *****************************************
logs/muonh_fsd_maxentslop_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3010_seed6.txt
step:0/3010 val_loss:10.92958 train_time:0.001s step_avg:nanms
step:1/3010 train_time:5.443s step_avg:5443.10ms
step:2/3010 train_time:6.348s step_avg:3173.80ms
step:3/3010 train_time:6.690s step_avg:2230.01ms
step:4/3010 train_time:7.035s step_avg:1758.83ms
step:5/3010 train_time:7.380s step_avg:1476.06ms
step:6/3010 train_time:7.726s step_avg:1287.70ms
step:7/3010 train_time:8.074s step_avg:1153.38ms
step:8/3010 train_time:8.420s step_avg:1052.50ms
step:9/3010 train_time:8.767s step_avg:974.07ms
step:10/3010 train_time:9.113s step_avg:911.31ms
step:11/3010 train_time:9.459s step_avg:859.93ms
step:12/3010 train_time:9.807s step_avg:817.21ms
step:13/3010 train_time:10.155s step_avg:781.17ms
step:14/3010 train_time:10.501s step_avg:750.09ms
step:15/3010 train_time:10.848s step_avg:723.21ms
step:16/3010 train_time:11.195s step_avg:699.67ms
step:17/3010 train_time:11.541s step_avg:678.90ms
step:18/3010 train_time:11.891s step_avg:660.60ms
step:19/3010 train_time:12.240s step_avg:644.23ms
step:20/3010 train_time:12.587s step_avg:629.35ms
step:21/3010 train_time:12.934s step_avg:615.89ms
step:22/3010 train_time:13.280s step_avg:603.66ms
step:23/3010 train_time:13.629s step_avg:592.54ms
step:24/3010 train_time:13.977s step_avg:582.38ms
step:25/3010 train_time:14.325s step_avg:573.00ms
step:26/3010 train_time:14.672s step_avg:564.30ms
step:27/3010 train_time:15.019s step_avg:556.27ms
step:28/3010 train_time:15.368s step_avg:548.85ms
step:29/3010 train_time:15.716s step_avg:541.94ms
step:30/3010 train_time:16.064s step_avg:535.47ms
step:31/3010 train_time:16.412s step_avg:529.42ms
step:32/3010 train_time:16.761s step_avg:523.77ms
step:33/3010 train_time:17.110s step_avg:518.48ms
step:34/3010 train_time:17.458s step_avg:513.46ms
step:35/3010 train_time:17.805s step_avg:508.70ms
step:36/3010 train_time:18.152s step_avg:504.21ms
step:37/3010 train_time:18.501s step_avg:500.02ms
step:38/3010 train_time:18.848s step_avg:496.01ms
step:39/3010 train_time:19.197s step_avg:492.24ms
step:40/3010 train_time:19.546s step_avg:488.64ms
step:41/3010 train_time:19.894s step_avg:485.21ms
step:42/3010 train_time:20.242s step_avg:481.96ms
step:43/3010 train_time:20.593s step_avg:478.90ms
step:44/3010 train_time:20.941s step_avg:475.94ms
step:45/3010 train_time:21.290s step_avg:473.11ms
step:46/3010 train_time:21.637s step_avg:470.38ms
step:47/3010 train_time:21.985s step_avg:467.77ms
step:48/3010 train_time:22.335s step_avg:465.31ms
step:49/3010 train_time:22.683s step_avg:462.91ms
step:50/3010 train_time:23.033s step_avg:460.66ms
step:51/3010 train_time:23.381s step_avg:458.46ms
step:52/3010 train_time:23.730s step_avg:456.34ms
step:53/3010 train_time:24.079s step_avg:454.33ms
step:54/3010 train_time:24.430s step_avg:452.41ms
step:55/3010 train_time:24.779s step_avg:450.53ms
step:56/3010 train_time:25.127s step_avg:448.69ms
step:57/3010 train_time:25.477s step_avg:446.96ms
step:58/3010 train_time:25.826s step_avg:445.28ms
step:59/3010 train_time:26.176s step_avg:443.66ms
step:60/3010 train_time:26.526s step_avg:442.10ms
step:61/3010 train_time:26.875s step_avg:440.57ms
step:62/3010 train_time:27.225s step_avg:439.11ms
step:63/3010 train_time:27.574s step_avg:437.69ms
step:64/3010 train_time:27.923s step_avg:436.30ms
step:65/3010 train_time:28.273s step_avg:434.97ms
step:66/3010 train_time:28.625s step_avg:433.71ms
step:67/3010 train_time:28.974s step_avg:432.45ms
step:68/3010 train_time:29.323s step_avg:431.22ms
step:69/3010 train_time:29.673s step_avg:430.05ms
step:70/3010 train_time:30.025s step_avg:428.92ms
step:71/3010 train_time:30.373s step_avg:427.79ms
step:72/3010 train_time:30.722s step_avg:426.70ms
step:73/3010 train_time:31.072s step_avg:425.64ms
step:74/3010 train_time:31.423s step_avg:424.63ms
step:75/3010 train_time:31.773s step_avg:423.64ms
step:76/3010 train_time:32.122s step_avg:422.66ms
step:77/3010 train_time:32.473s step_avg:421.72ms
step:78/3010 train_time:32.822s step_avg:420.79ms
step:79/3010 train_time:33.171s step_avg:419.89ms
step:80/3010 train_time:33.522s step_avg:419.02ms
step:81/3010 train_time:33.871s step_avg:418.17ms
step:82/3010 train_time:34.221s step_avg:417.34ms
step:83/3010 train_time:34.571s step_avg:416.52ms
step:84/3010 train_time:34.922s step_avg:415.73ms
step:85/3010 train_time:35.271s step_avg:414.96ms
step:86/3010 train_time:35.622s step_avg:414.20ms
step:87/3010 train_time:35.972s step_avg:413.48ms
step:88/3010 train_time:36.322s step_avg:412.76ms
step:89/3010 train_time:36.673s step_avg:412.06ms
step:90/3010 train_time:37.023s step_avg:411.37ms
step:91/3010 train_time:37.373s step_avg:410.70ms
step:92/3010 train_time:37.723s step_avg:410.03ms
step:93/3010 train_time:38.073s step_avg:409.39ms
step:94/3010 train_time:38.423s step_avg:408.75ms
step:95/3010 train_time:38.774s step_avg:408.15ms
step:96/3010 train_time:39.123s step_avg:407.53ms
step:97/3010 train_time:39.474s step_avg:406.95ms
step:98/3010 train_time:39.825s step_avg:406.38ms
step:99/3010 train_time:40.174s step_avg:405.80ms
step:100/3010 train_time:40.523s step_avg:405.23ms
step:101/3010 train_time:40.874s step_avg:404.69ms
step:102/3010 train_time:41.224s step_avg:404.15ms
step:103/3010 train_time:41.573s step_avg:403.62ms
step:104/3010 train_time:41.922s step_avg:403.10ms
step:105/3010 train_time:42.272s step_avg:402.59ms
step:106/3010 train_time:42.623s step_avg:402.10ms
step:107/3010 train_time:42.973s step_avg:401.61ms
step:108/3010 train_time:43.323s step_avg:401.13ms
step:109/3010 train_time:43.672s step_avg:400.66ms
step:110/3010 train_time:44.023s step_avg:400.21ms
step:111/3010 train_time:44.373s step_avg:399.75ms
step:112/3010 train_time:44.723s step_avg:399.31ms
step:113/3010 train_time:45.072s step_avg:398.86ms
step:114/3010 train_time:45.423s step_avg:398.44ms
