W0922 09:37:16.306000 200734 torch/distributed/run.py:851] 
W0922 09:37:16.306000 200734 torch/distributed/run.py:851] *****************************************
W0922 09:37:16.306000 200734 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0922 09:37:16.306000 200734 torch/distributed/run.py:851] *****************************************
logs/muonh_fsd_maxentslop_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3010_seed3.txt
step:0/3010 val_loss:10.98873 train_time:0.000s step_avg:nanms
step:1/3010 train_time:5.384s step_avg:5383.81ms
step:2/3010 train_time:6.285s step_avg:3142.51ms
step:3/3010 train_time:6.632s step_avg:2210.68ms
step:4/3010 train_time:6.978s step_avg:1744.60ms
step:5/3010 train_time:7.326s step_avg:1465.12ms
step:6/3010 train_time:7.671s step_avg:1278.48ms
step:7/3010 train_time:8.017s step_avg:1145.27ms
step:8/3010 train_time:8.363s step_avg:1045.41ms
step:9/3010 train_time:8.710s step_avg:967.80ms
step:10/3010 train_time:9.060s step_avg:906.00ms
step:11/3010 train_time:9.408s step_avg:855.24ms
step:12/3010 train_time:9.755s step_avg:812.89ms
step:13/3010 train_time:10.103s step_avg:777.12ms
step:14/3010 train_time:10.448s step_avg:746.31ms
step:15/3010 train_time:10.796s step_avg:719.70ms
step:16/3010 train_time:11.144s step_avg:696.48ms
step:17/3010 train_time:11.492s step_avg:675.99ms
step:18/3010 train_time:11.840s step_avg:657.79ms
step:19/3010 train_time:12.188s step_avg:641.47ms
step:20/3010 train_time:12.535s step_avg:626.77ms
step:21/3010 train_time:12.886s step_avg:613.64ms
step:22/3010 train_time:13.233s step_avg:601.49ms
step:23/3010 train_time:13.581s step_avg:590.49ms
step:24/3010 train_time:13.928s step_avg:580.35ms
step:25/3010 train_time:14.278s step_avg:571.12ms
step:26/3010 train_time:14.628s step_avg:562.60ms
step:27/3010 train_time:14.976s step_avg:554.68ms
step:28/3010 train_time:15.325s step_avg:547.32ms
step:29/3010 train_time:15.674s step_avg:540.48ms
step:30/3010 train_time:16.024s step_avg:534.13ms
step:31/3010 train_time:16.374s step_avg:528.18ms
step:32/3010 train_time:16.722s step_avg:522.56ms
step:33/3010 train_time:17.070s step_avg:517.28ms
step:34/3010 train_time:17.418s step_avg:512.29ms
step:35/3010 train_time:17.767s step_avg:507.62ms
step:36/3010 train_time:18.116s step_avg:503.21ms
step:37/3010 train_time:18.465s step_avg:499.04ms
step:38/3010 train_time:18.813s step_avg:495.08ms
step:39/3010 train_time:19.160s step_avg:491.29ms
step:40/3010 train_time:19.509s step_avg:487.73ms
step:41/3010 train_time:19.858s step_avg:484.34ms
step:42/3010 train_time:20.208s step_avg:481.14ms
step:43/3010 train_time:20.556s step_avg:478.05ms
step:44/3010 train_time:20.904s step_avg:475.09ms
step:45/3010 train_time:21.252s step_avg:472.27ms
step:46/3010 train_time:21.606s step_avg:469.69ms
step:47/3010 train_time:21.954s step_avg:467.10ms
step:48/3010 train_time:22.303s step_avg:464.64ms
step:49/3010 train_time:22.652s step_avg:462.28ms
step:50/3010 train_time:23.002s step_avg:460.04ms
step:51/3010 train_time:23.351s step_avg:457.85ms
step:52/3010 train_time:23.700s step_avg:455.77ms
step:53/3010 train_time:24.050s step_avg:453.78ms
step:54/3010 train_time:24.400s step_avg:451.85ms
