W0922 09:56:42.331000 202829 torch/distributed/run.py:851] 
W0922 09:56:42.331000 202829 torch/distributed/run.py:851] *****************************************
W0922 09:56:42.331000 202829 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0922 09:56:42.331000 202829 torch/distributed/run.py:851] *****************************************
logs/muonh_fsd_maxentslop_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3010_seed4.txt
step:0/3010 val_loss:10.95395 train_time:0.001s step_avg:nanms
step:1/3010 train_time:5.748s step_avg:5748.27ms
step:2/3010 train_time:6.651s step_avg:3325.27ms
step:3/3010 train_time:6.993s step_avg:2330.96ms
step:4/3010 train_time:7.338s step_avg:1834.51ms
step:5/3010 train_time:7.684s step_avg:1536.73ms
step:6/3010 train_time:8.029s step_avg:1338.24ms
step:7/3010 train_time:8.378s step_avg:1196.79ms
step:8/3010 train_time:8.725s step_avg:1090.61ms
step:9/3010 train_time:9.072s step_avg:1008.00ms
step:10/3010 train_time:9.420s step_avg:941.96ms
step:11/3010 train_time:9.766s step_avg:887.83ms
step:12/3010 train_time:10.114s step_avg:842.86ms
step:13/3010 train_time:10.463s step_avg:804.83ms
step:14/3010 train_time:10.811s step_avg:772.20ms
step:15/3010 train_time:11.158s step_avg:743.89ms
step:16/3010 train_time:11.507s step_avg:719.17ms
step:17/3010 train_time:11.856s step_avg:697.41ms
step:18/3010 train_time:12.203s step_avg:677.97ms
step:19/3010 train_time:12.552s step_avg:660.64ms
step:20/3010 train_time:12.900s step_avg:645.00ms
step:21/3010 train_time:13.250s step_avg:630.96ms
step:22/3010 train_time:13.598s step_avg:618.09ms
step:23/3010 train_time:13.947s step_avg:606.39ms
step:24/3010 train_time:14.297s step_avg:595.70ms
step:25/3010 train_time:14.645s step_avg:585.80ms
step:26/3010 train_time:14.994s step_avg:576.68ms
step:27/3010 train_time:15.342s step_avg:568.23ms
step:28/3010 train_time:15.691s step_avg:560.38ms
step:29/3010 train_time:16.040s step_avg:553.12ms
step:30/3010 train_time:16.387s step_avg:546.25ms
step:31/3010 train_time:16.736s step_avg:539.87ms
step:32/3010 train_time:17.083s step_avg:533.85ms
step:33/3010 train_time:17.432s step_avg:528.25ms
step:34/3010 train_time:17.781s step_avg:522.96ms
step:35/3010 train_time:18.130s step_avg:517.99ms
step:36/3010 train_time:18.478s step_avg:513.28ms
step:37/3010 train_time:18.826s step_avg:508.80ms
step:38/3010 train_time:19.175s step_avg:504.60ms
step:39/3010 train_time:19.524s step_avg:500.62ms
step:40/3010 train_time:19.873s step_avg:496.82ms
step:41/3010 train_time:20.221s step_avg:493.19ms
step:42/3010 train_time:20.569s step_avg:489.74ms
step:43/3010 train_time:20.918s step_avg:486.46ms
step:44/3010 train_time:21.266s step_avg:483.32ms
step:45/3010 train_time:21.614s step_avg:480.32ms
step:46/3010 train_time:21.963s step_avg:477.46ms
step:47/3010 train_time:22.314s step_avg:474.76ms
step:48/3010 train_time:22.663s step_avg:472.15ms
step:49/3010 train_time:23.014s step_avg:469.67ms
step:50/3010 train_time:23.363s step_avg:467.27ms
step:51/3010 train_time:23.712s step_avg:464.94ms
step:52/3010 train_time:24.061s step_avg:462.71ms
step:53/3010 train_time:24.408s step_avg:460.53ms
step:54/3010 train_time:24.757s step_avg:458.46ms
step:55/3010 train_time:25.106s step_avg:456.48ms
step:56/3010 train_time:25.455s step_avg:454.55ms
step:57/3010 train_time:25.804s step_avg:452.70ms
step:58/3010 train_time:26.153s step_avg:450.92ms
step:59/3010 train_time:26.504s step_avg:449.22ms
step:60/3010 train_time:26.852s step_avg:447.54ms
step:61/3010 train_time:27.204s step_avg:445.97ms
step:62/3010 train_time:27.553s step_avg:444.41ms
step:63/3010 train_time:27.904s step_avg:442.92ms
step:64/3010 train_time:28.254s step_avg:441.46ms
step:65/3010 train_time:28.603s step_avg:440.05ms
step:66/3010 train_time:28.952s step_avg:438.67ms
step:67/3010 train_time:29.304s step_avg:437.37ms
step:68/3010 train_time:29.653s step_avg:436.07ms
step:69/3010 train_time:30.002s step_avg:434.81ms
step:70/3010 train_time:30.353s step_avg:433.62ms
step:71/3010 train_time:30.702s step_avg:432.43ms
step:72/3010 train_time:31.051s step_avg:431.27ms
step:73/3010 train_time:31.400s step_avg:430.13ms
step:74/3010 train_time:31.749s step_avg:429.05ms
step:75/3010 train_time:32.100s step_avg:428.00ms
step:76/3010 train_time:32.449s step_avg:426.96ms
step:77/3010 train_time:32.799s step_avg:425.97ms
step:78/3010 train_time:33.151s step_avg:425.01ms
step:79/3010 train_time:33.500s step_avg:424.06ms
step:80/3010 train_time:33.851s step_avg:423.13ms
step:81/3010 train_time:34.199s step_avg:422.21ms
step:82/3010 train_time:34.550s step_avg:421.35ms
step:83/3010 train_time:34.901s step_avg:420.49ms
step:84/3010 train_time:35.252s step_avg:419.66ms
step:85/3010 train_time:35.602s step_avg:418.84ms
