W0922 09:17:50.657000 198652 torch/distributed/run.py:851] 
W0922 09:17:50.657000 198652 torch/distributed/run.py:851] *****************************************
W0922 09:17:50.657000 198652 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0922 09:17:50.657000 198652 torch/distributed/run.py:851] *****************************************
logs/muonh_fsd_maxentslop_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3010_seed2.txt
step:0/3010 val_loss:10.98214 train_time:0.000s step_avg:nanms
step:1/3010 train_time:5.602s step_avg:5601.72ms
step:2/3010 train_time:6.529s step_avg:3264.61ms
step:3/3010 train_time:6.873s step_avg:2291.07ms
step:4/3010 train_time:7.220s step_avg:1804.91ms
step:5/3010 train_time:7.565s step_avg:1512.96ms
step:6/3010 train_time:7.911s step_avg:1318.53ms
step:7/3010 train_time:8.259s step_avg:1179.79ms
step:8/3010 train_time:8.605s step_avg:1075.59ms
step:9/3010 train_time:8.952s step_avg:994.69ms
step:10/3010 train_time:9.300s step_avg:930.01ms
step:11/3010 train_time:9.647s step_avg:877.01ms
step:12/3010 train_time:9.996s step_avg:833.02ms
step:13/3010 train_time:10.344s step_avg:795.67ms
step:14/3010 train_time:10.691s step_avg:763.63ms
step:15/3010 train_time:11.038s step_avg:735.87ms
step:16/3010 train_time:11.385s step_avg:711.58ms
step:17/3010 train_time:11.735s step_avg:690.27ms
step:18/3010 train_time:12.082s step_avg:671.25ms
step:19/3010 train_time:12.431s step_avg:654.26ms
step:20/3010 train_time:12.778s step_avg:638.91ms
step:21/3010 train_time:13.127s step_avg:625.09ms
step:22/3010 train_time:13.475s step_avg:612.49ms
step:23/3010 train_time:13.823s step_avg:601.00ms
step:24/3010 train_time:14.170s step_avg:590.43ms
step:25/3010 train_time:14.518s step_avg:580.72ms
step:26/3010 train_time:14.867s step_avg:571.80ms
step:27/3010 train_time:15.215s step_avg:563.53ms
step:28/3010 train_time:15.563s step_avg:555.81ms
step:29/3010 train_time:15.913s step_avg:548.71ms
step:30/3010 train_time:16.262s step_avg:542.07ms
step:31/3010 train_time:16.610s step_avg:535.81ms
step:32/3010 train_time:16.958s step_avg:529.94ms
step:33/3010 train_time:17.306s step_avg:524.42ms
step:34/3010 train_time:17.653s step_avg:519.21ms
step:35/3010 train_time:18.001s step_avg:514.31ms
step:36/3010 train_time:18.349s step_avg:509.69ms
step:37/3010 train_time:18.697s step_avg:505.33ms
step:38/3010 train_time:19.047s step_avg:501.23ms
step:39/3010 train_time:19.395s step_avg:497.30ms
step:40/3010 train_time:19.743s step_avg:493.58ms
step:41/3010 train_time:20.092s step_avg:490.06ms
step:42/3010 train_time:20.442s step_avg:486.70ms
step:43/3010 train_time:20.791s step_avg:483.51ms
step:44/3010 train_time:21.140s step_avg:480.45ms
step:45/3010 train_time:21.489s step_avg:477.52ms
step:46/3010 train_time:21.837s step_avg:474.71ms
step:47/3010 train_time:22.186s step_avg:472.04ms
step:48/3010 train_time:22.536s step_avg:469.50ms
step:49/3010 train_time:22.885s step_avg:467.05ms
step:50/3010 train_time:23.234s step_avg:464.68ms
step:51/3010 train_time:23.582s step_avg:462.39ms
step:52/3010 train_time:23.931s step_avg:460.21ms
step:53/3010 train_time:24.282s step_avg:458.15ms
step:54/3010 train_time:24.630s step_avg:456.12ms
step:55/3010 train_time:24.980s step_avg:454.18ms
step:56/3010 train_time:25.330s step_avg:452.31ms
step:57/3010 train_time:25.679s step_avg:450.51ms
step:58/3010 train_time:26.027s step_avg:448.75ms
step:59/3010 train_time:26.377s step_avg:447.07ms
step:60/3010 train_time:26.727s step_avg:445.46ms
step:61/3010 train_time:27.077s step_avg:443.88ms
step:62/3010 train_time:27.428s step_avg:442.39ms
step:63/3010 train_time:27.778s step_avg:440.92ms
step:64/3010 train_time:28.127s step_avg:439.49ms
step:65/3010 train_time:28.476s step_avg:438.09ms
step:66/3010 train_time:28.827s step_avg:436.77ms
step:67/3010 train_time:29.176s step_avg:435.47ms
step:68/3010 train_time:29.524s step_avg:434.18ms
step:69/3010 train_time:29.873s step_avg:432.95ms
step:70/3010 train_time:30.225s step_avg:431.78ms
step:71/3010 train_time:30.574s step_avg:430.62ms
step:72/3010 train_time:30.925s step_avg:429.51ms
step:73/3010 train_time:31.275s step_avg:428.43ms
step:74/3010 train_time:31.625s step_avg:427.36ms
step:75/3010 train_time:31.974s step_avg:426.32ms
step:76/3010 train_time:32.324s step_avg:425.31ms
step:77/3010 train_time:32.673s step_avg:424.33ms
step:78/3010 train_time:33.023s step_avg:423.38ms
step:79/3010 train_time:33.373s step_avg:422.44ms
step:80/3010 train_time:33.723s step_avg:421.54ms
step:81/3010 train_time:34.074s step_avg:420.67ms
step:82/3010 train_time:34.424s step_avg:419.80ms
step:83/3010 train_time:34.775s step_avg:418.97ms
step:84/3010 train_time:35.125s step_avg:418.16ms
step:85/3010 train_time:35.474s step_avg:417.34ms
step:86/3010 train_time:35.824s step_avg:416.56ms
step:87/3010 train_time:36.175s step_avg:415.80ms
step:88/3010 train_time:36.526s step_avg:415.07ms
step:89/3010 train_time:36.876s step_avg:414.34ms
step:90/3010 train_time:37.227s step_avg:413.63ms
step:91/3010 train_time:37.578s step_avg:412.95ms
step:92/3010 train_time:37.927s step_avg:412.25ms
step:93/3010 train_time:38.276s step_avg:411.57ms
step:94/3010 train_time:38.628s step_avg:410.93ms
step:95/3010 train_time:38.977s step_avg:410.29ms
step:96/3010 train_time:39.326s step_avg:409.65ms
step:97/3010 train_time:39.675s step_avg:409.02ms
