W0922 08:58:25.544000 196511 torch/distributed/run.py:851] 
W0922 08:58:25.544000 196511 torch/distributed/run.py:851] *****************************************
W0922 08:58:25.544000 196511 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0922 08:58:25.544000 196511 torch/distributed/run.py:851] *****************************************
logs/muonh_fsd_maxentslop_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3010_seed1.txt
step:0/3010 val_loss:10.98404 train_time:0.001s step_avg:nanms
step:1/3010 train_time:5.633s step_avg:5633.10ms
step:2/3010 train_time:6.480s step_avg:3239.82ms
step:3/3010 train_time:6.823s step_avg:2274.31ms
step:4/3010 train_time:7.167s step_avg:1791.81ms
step:5/3010 train_time:7.513s step_avg:1502.56ms
step:6/3010 train_time:7.858s step_avg:1309.72ms
step:7/3010 train_time:8.205s step_avg:1172.18ms
step:8/3010 train_time:8.552s step_avg:1069.03ms
step:9/3010 train_time:8.900s step_avg:988.87ms
step:10/3010 train_time:9.248s step_avg:924.82ms
step:11/3010 train_time:9.595s step_avg:872.30ms
step:12/3010 train_time:9.942s step_avg:828.46ms
step:13/3010 train_time:10.288s step_avg:791.39ms
step:14/3010 train_time:10.637s step_avg:759.80ms
step:15/3010 train_time:10.984s step_avg:732.29ms
step:16/3010 train_time:11.331s step_avg:708.19ms
step:17/3010 train_time:11.679s step_avg:686.99ms
step:18/3010 train_time:12.027s step_avg:668.15ms
step:19/3010 train_time:12.374s step_avg:651.29ms
step:20/3010 train_time:12.722s step_avg:636.10ms
step:21/3010 train_time:13.072s step_avg:622.46ms
step:22/3010 train_time:13.419s step_avg:609.94ms
step:23/3010 train_time:13.767s step_avg:598.56ms
step:24/3010 train_time:14.116s step_avg:588.18ms
step:25/3010 train_time:14.465s step_avg:578.62ms
step:26/3010 train_time:14.815s step_avg:569.80ms
step:27/3010 train_time:15.162s step_avg:561.56ms
step:28/3010 train_time:15.511s step_avg:553.96ms
step:29/3010 train_time:15.857s step_avg:546.81ms
step:30/3010 train_time:16.206s step_avg:540.19ms
step:31/3010 train_time:16.554s step_avg:534.01ms
step:32/3010 train_time:16.903s step_avg:528.22ms
step:33/3010 train_time:17.250s step_avg:522.74ms
step:34/3010 train_time:17.598s step_avg:517.59ms
step:35/3010 train_time:17.947s step_avg:512.77ms
step:36/3010 train_time:18.296s step_avg:508.21ms
step:37/3010 train_time:18.642s step_avg:503.85ms
step:38/3010 train_time:18.990s step_avg:499.75ms
step:39/3010 train_time:19.341s step_avg:495.91ms
step:40/3010 train_time:19.689s step_avg:492.23ms
step:41/3010 train_time:20.037s step_avg:488.71ms
step:42/3010 train_time:20.386s step_avg:485.38ms
step:43/3010 train_time:20.735s step_avg:482.21ms
step:44/3010 train_time:21.085s step_avg:479.21ms
step:45/3010 train_time:21.432s step_avg:476.27ms
step:46/3010 train_time:21.781s step_avg:473.50ms
step:47/3010 train_time:22.130s step_avg:470.84ms
step:48/3010 train_time:22.478s step_avg:468.30ms
step:49/3010 train_time:22.827s step_avg:465.86ms
step:50/3010 train_time:23.177s step_avg:463.54ms
step:51/3010 train_time:23.527s step_avg:461.31ms
step:52/3010 train_time:23.876s step_avg:459.16ms
step:53/3010 train_time:24.225s step_avg:457.07ms
step:54/3010 train_time:24.575s step_avg:455.08ms
step:55/3010 train_time:24.923s step_avg:453.15ms
step:56/3010 train_time:25.272s step_avg:451.29ms
step:57/3010 train_time:25.621s step_avg:449.49ms
step:58/3010 train_time:25.973s step_avg:447.81ms
step:59/3010 train_time:26.322s step_avg:446.14ms
step:60/3010 train_time:26.671s step_avg:444.52ms
step:61/3010 train_time:27.022s step_avg:442.98ms
step:62/3010 train_time:27.372s step_avg:441.48ms
step:63/3010 train_time:27.721s step_avg:440.01ms
step:64/3010 train_time:28.070s step_avg:438.60ms
step:65/3010 train_time:28.419s step_avg:437.21ms
step:66/3010 train_time:28.768s step_avg:435.88ms
step:67/3010 train_time:29.118s step_avg:434.59ms
step:68/3010 train_time:29.469s step_avg:433.36ms
step:69/3010 train_time:29.819s step_avg:432.15ms
step:70/3010 train_time:30.168s step_avg:430.98ms
step:71/3010 train_time:30.517s step_avg:429.82ms
step:72/3010 train_time:30.866s step_avg:428.69ms
step:73/3010 train_time:31.216s step_avg:427.61ms
step:74/3010 train_time:31.565s step_avg:426.56ms
step:75/3010 train_time:31.915s step_avg:425.54ms
step:76/3010 train_time:32.264s step_avg:424.53ms
step:77/3010 train_time:32.614s step_avg:423.56ms
step:78/3010 train_time:32.964s step_avg:422.61ms
step:79/3010 train_time:33.313s step_avg:421.69ms
step:80/3010 train_time:33.662s step_avg:420.78ms
step:81/3010 train_time:34.013s step_avg:419.92ms
step:82/3010 train_time:34.365s step_avg:419.09ms
step:83/3010 train_time:34.713s step_avg:418.23ms
step:84/3010 train_time:35.063s step_avg:417.42ms
step:85/3010 train_time:35.414s step_avg:416.63ms
step:86/3010 train_time:35.764s step_avg:415.86ms
step:87/3010 train_time:36.114s step_avg:415.11ms
step:88/3010 train_time:36.465s step_avg:414.37ms
step:89/3010 train_time:36.814s step_avg:413.64ms
step:90/3010 train_time:37.165s step_avg:412.94ms
step:91/3010 train_time:37.515s step_avg:412.26ms
step:92/3010 train_time:37.865s step_avg:411.58ms
step:93/3010 train_time:38.216s step_avg:410.93ms
step:94/3010 train_time:38.566s step_avg:410.27ms
step:95/3010 train_time:38.915s step_avg:409.63ms
step:96/3010 train_time:39.266s step_avg:409.02ms
step:97/3010 train_time:39.617s step_avg:408.42ms
step:98/3010 train_time:39.967s step_avg:407.82ms
step:99/3010 train_time:40.317s step_avg:407.24ms
step:100/3010 train_time:40.667s step_avg:406.67ms
step:101/3010 train_time:41.017s step_avg:406.11ms
step:102/3010 train_time:41.367s step_avg:405.56ms
step:103/3010 train_time:41.717s step_avg:405.02ms
step:104/3010 train_time:42.066s step_avg:404.48ms
step:105/3010 train_time:42.416s step_avg:403.96ms
step:106/3010 train_time:42.766s step_avg:403.45ms
step:107/3010 train_time:43.115s step_avg:402.95ms
step:108/3010 train_time:43.466s step_avg:402.46ms
step:109/3010 train_time:43.815s step_avg:401.97ms
step:110/3010 train_time:44.165s step_avg:401.50ms
step:111/3010 train_time:44.516s step_avg:401.04ms
step:112/3010 train_time:44.866s step_avg:400.59ms
