W0922 10:55:02.040000 209158 torch/distributed/run.py:851] 
W0922 10:55:02.040000 209158 torch/distributed/run.py:851] *****************************************
W0922 10:55:02.040000 209158 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0922 10:55:02.040000 209158 torch/distributed/run.py:851] *****************************************
logs/muonh_fsd_maxentslop_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3010_seed7.txt
step:0/3010 val_loss:10.94020 train_time:0.001s step_avg:nanms
step:1/3010 train_time:5.203s step_avg:5202.77ms
step:2/3010 train_time:6.123s step_avg:3061.50ms
step:3/3010 train_time:6.468s step_avg:2155.90ms
step:4/3010 train_time:6.813s step_avg:1703.37ms
step:5/3010 train_time:7.161s step_avg:1432.29ms
step:6/3010 train_time:7.507s step_avg:1251.23ms
step:7/3010 train_time:7.854s step_avg:1122.07ms
step:8/3010 train_time:8.202s step_avg:1025.20ms
step:9/3010 train_time:8.549s step_avg:949.89ms
step:10/3010 train_time:8.897s step_avg:889.66ms
step:11/3010 train_time:9.244s step_avg:840.36ms
step:12/3010 train_time:9.594s step_avg:799.47ms
step:13/3010 train_time:9.941s step_avg:764.69ms
step:14/3010 train_time:10.288s step_avg:734.83ms
step:15/3010 train_time:10.634s step_avg:708.91ms
step:16/3010 train_time:10.980s step_avg:686.27ms
step:17/3010 train_time:11.327s step_avg:666.31ms
step:18/3010 train_time:11.675s step_avg:648.59ms
step:19/3010 train_time:12.022s step_avg:632.72ms
step:20/3010 train_time:12.369s step_avg:618.43ms
step:21/3010 train_time:12.716s step_avg:605.51ms
step:22/3010 train_time:13.064s step_avg:593.80ms
step:23/3010 train_time:13.412s step_avg:583.11ms
step:24/3010 train_time:13.758s step_avg:573.26ms
step:25/3010 train_time:14.106s step_avg:564.25ms
step:26/3010 train_time:14.454s step_avg:555.92ms
step:27/3010 train_time:14.802s step_avg:548.23ms
step:28/3010 train_time:15.149s step_avg:541.05ms
step:29/3010 train_time:15.497s step_avg:534.39ms
step:30/3010 train_time:15.846s step_avg:528.19ms
step:31/3010 train_time:16.194s step_avg:522.38ms
step:32/3010 train_time:16.542s step_avg:516.95ms
step:33/3010 train_time:16.890s step_avg:511.81ms
step:34/3010 train_time:17.238s step_avg:506.99ms
step:35/3010 train_time:17.585s step_avg:502.44ms
step:36/3010 train_time:17.934s step_avg:498.15ms
step:37/3010 train_time:18.282s step_avg:494.10ms
step:38/3010 train_time:18.629s step_avg:490.23ms
step:39/3010 train_time:18.978s step_avg:486.62ms
step:40/3010 train_time:19.327s step_avg:483.18ms
step:41/3010 train_time:19.676s step_avg:479.91ms
step:42/3010 train_time:20.023s step_avg:476.75ms
step:43/3010 train_time:20.373s step_avg:473.78ms
step:44/3010 train_time:20.720s step_avg:470.92ms
step:45/3010 train_time:21.070s step_avg:468.22ms
step:46/3010 train_time:21.418s step_avg:465.61ms
step:47/3010 train_time:21.767s step_avg:463.14ms
step:48/3010 train_time:22.116s step_avg:460.76ms
step:49/3010 train_time:22.464s step_avg:458.45ms
step:50/3010 train_time:22.812s step_avg:456.23ms
step:51/3010 train_time:23.161s step_avg:454.14ms
step:52/3010 train_time:23.511s step_avg:452.13ms
step:53/3010 train_time:23.859s step_avg:450.18ms
step:54/3010 train_time:24.209s step_avg:448.32ms
step:55/3010 train_time:24.559s step_avg:446.53ms
step:56/3010 train_time:24.909s step_avg:444.80ms
step:57/3010 train_time:25.258s step_avg:443.13ms
step:58/3010 train_time:25.608s step_avg:441.52ms
step:59/3010 train_time:25.958s step_avg:439.97ms
step:60/3010 train_time:26.307s step_avg:438.45ms
step:61/3010 train_time:26.657s step_avg:437.00ms
step:62/3010 train_time:27.008s step_avg:435.62ms
step:63/3010 train_time:27.358s step_avg:434.25ms
step:64/3010 train_time:27.709s step_avg:432.95ms
step:65/3010 train_time:28.060s step_avg:431.68ms
step:66/3010 train_time:28.409s step_avg:430.45ms
step:67/3010 train_time:28.760s step_avg:429.25ms
step:68/3010 train_time:29.110s step_avg:428.08ms
step:69/3010 train_time:29.458s step_avg:426.93ms
step:70/3010 train_time:29.809s step_avg:425.85ms
step:71/3010 train_time:30.160s step_avg:424.78ms
step:72/3010 train_time:30.509s step_avg:423.74ms
step:73/3010 train_time:30.860s step_avg:422.73ms
step:74/3010 train_time:31.211s step_avg:421.77ms
step:75/3010 train_time:31.561s step_avg:420.81ms
step:76/3010 train_time:31.911s step_avg:419.89ms
step:77/3010 train_time:32.262s step_avg:418.98ms
