W0922 10:16:09.046000 204960 torch/distributed/run.py:851] 
W0922 10:16:09.046000 204960 torch/distributed/run.py:851] *****************************************
W0922 10:16:09.046000 204960 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0922 10:16:09.046000 204960 torch/distributed/run.py:851] *****************************************
logs/muonh_fsd_maxentslop_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3010_seed5.txt
step:0/3010 val_loss:10.99928 train_time:0.001s step_avg:nanms
step:1/3010 train_time:5.607s step_avg:5607.06ms
step:2/3010 train_time:6.538s step_avg:3269.23ms
step:3/3010 train_time:6.882s step_avg:2293.97ms
step:4/3010 train_time:7.228s step_avg:1806.99ms
step:5/3010 train_time:7.575s step_avg:1514.98ms
step:6/3010 train_time:7.921s step_avg:1320.18ms
step:7/3010 train_time:8.269s step_avg:1181.26ms
step:8/3010 train_time:8.616s step_avg:1077.02ms
step:9/3010 train_time:8.964s step_avg:995.95ms
step:10/3010 train_time:9.311s step_avg:931.06ms
step:11/3010 train_time:9.659s step_avg:878.05ms
step:12/3010 train_time:10.007s step_avg:833.91ms
step:13/3010 train_time:10.354s step_avg:796.45ms
step:14/3010 train_time:10.701s step_avg:764.38ms
step:15/3010 train_time:11.049s step_avg:736.62ms
step:16/3010 train_time:11.398s step_avg:712.35ms
step:17/3010 train_time:11.746s step_avg:690.95ms
step:18/3010 train_time:12.094s step_avg:671.90ms
step:19/3010 train_time:12.443s step_avg:654.89ms
step:20/3010 train_time:12.792s step_avg:639.61ms
step:21/3010 train_time:13.140s step_avg:625.72ms
step:22/3010 train_time:13.487s step_avg:613.04ms
step:23/3010 train_time:13.835s step_avg:601.53ms
step:24/3010 train_time:14.184s step_avg:591.01ms
step:25/3010 train_time:14.532s step_avg:581.29ms
step:26/3010 train_time:14.881s step_avg:572.34ms
step:27/3010 train_time:15.230s step_avg:564.08ms
step:28/3010 train_time:15.580s step_avg:556.45ms
step:29/3010 train_time:15.929s step_avg:549.26ms
step:30/3010 train_time:16.277s step_avg:542.56ms
step:31/3010 train_time:16.626s step_avg:536.32ms
step:32/3010 train_time:16.976s step_avg:530.49ms
step:33/3010 train_time:17.325s step_avg:525.00ms
step:34/3010 train_time:17.674s step_avg:519.83ms
step:35/3010 train_time:18.022s step_avg:514.92ms
step:36/3010 train_time:18.370s step_avg:510.28ms
step:37/3010 train_time:18.719s step_avg:505.92ms
step:38/3010 train_time:19.069s step_avg:501.82ms
step:39/3010 train_time:19.418s step_avg:497.89ms
step:40/3010 train_time:19.766s step_avg:494.15ms
step:41/3010 train_time:20.113s step_avg:490.57ms
step:42/3010 train_time:20.463s step_avg:487.22ms
step:43/3010 train_time:20.813s step_avg:484.02ms
step:44/3010 train_time:21.161s step_avg:480.94ms
step:45/3010 train_time:21.511s step_avg:478.02ms
step:46/3010 train_time:21.860s step_avg:475.21ms
step:47/3010 train_time:22.209s step_avg:472.53ms
step:48/3010 train_time:22.559s step_avg:469.97ms
step:49/3010 train_time:22.907s step_avg:467.50ms
step:50/3010 train_time:23.257s step_avg:465.15ms
step:51/3010 train_time:23.605s step_avg:462.85ms
step:52/3010 train_time:23.955s step_avg:460.67ms
step:53/3010 train_time:24.304s step_avg:458.57ms
step:54/3010 train_time:24.654s step_avg:456.56ms
step:55/3010 train_time:25.003s step_avg:454.61ms
step:56/3010 train_time:25.353s step_avg:452.73ms
step:57/3010 train_time:25.703s step_avg:450.92ms
step:58/3010 train_time:26.052s step_avg:449.18ms
step:59/3010 train_time:26.403s step_avg:447.50ms
step:60/3010 train_time:26.752s step_avg:445.87ms
step:61/3010 train_time:27.100s step_avg:444.27ms
step:62/3010 train_time:27.449s step_avg:442.73ms
step:63/3010 train_time:27.799s step_avg:441.25ms
step:64/3010 train_time:28.148s step_avg:439.82ms
step:65/3010 train_time:28.498s step_avg:438.43ms
step:66/3010 train_time:28.848s step_avg:437.10ms
step:67/3010 train_time:29.197s step_avg:435.78ms
step:68/3010 train_time:29.547s step_avg:434.51ms
step:69/3010 train_time:29.898s step_avg:433.31ms
step:70/3010 train_time:30.248s step_avg:432.12ms
step:71/3010 train_time:30.597s step_avg:430.95ms
step:72/3010 train_time:30.948s step_avg:429.83ms
step:73/3010 train_time:31.299s step_avg:428.75ms
step:74/3010 train_time:31.646s step_avg:427.65ms
step:75/3010 train_time:31.995s step_avg:426.61ms
step:76/3010 train_time:32.345s step_avg:425.60ms
step:77/3010 train_time:32.695s step_avg:424.62ms
step:78/3010 train_time:33.046s step_avg:423.66ms
step:79/3010 train_time:33.396s step_avg:422.74ms
step:80/3010 train_time:33.746s step_avg:421.83ms
step:81/3010 train_time:34.097s step_avg:420.95ms
step:82/3010 train_time:34.448s step_avg:420.09ms
step:83/3010 train_time:34.797s step_avg:419.24ms
step:84/3010 train_time:35.147s step_avg:418.41ms
step:85/3010 train_time:35.498s step_avg:417.62ms
step:86/3010 train_time:35.848s step_avg:416.84ms
step:87/3010 train_time:36.197s step_avg:416.06ms
