W0918 10:04:43.350000 993872 torch/distributed/run.py:851] 
W0918 10:04:43.350000 993872 torch/distributed/run.py:851] *****************************************
W0918 10:04:43.350000 993872 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0918 10:04:43.350000 993872 torch/distributed/run.py:851] *****************************************
pg_timeout_shim: process-group timeout set to 300s
NCCL version 2.28.9+cuda12.9
[W918 10:04:51.422078745 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 10:04:51.425636050 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 10:04:51.426554594 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 10:04:51.427111984 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 10:04:51.428254477 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 10:04:51.429603292 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 10:04:51.432298490 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 10:04:51.434103199 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
logs/dc88568a-2ca1-4c4b-8aaa-56480afc52e1.txt
data shard loaded: /root/muoff/data/fineweb10B/fineweb_val_000000.bin (100000000 tokens; batch 10485760 tokens)
step:0/3080 val_loss:10.82584 train_time:0.001s step_avg:nanms
data shard loaded: /root/muoff/data/fineweb10B/fineweb_train_000001.bin (100000000 tokens; batch 524288 tokens)
cool_down_learning_rate at step 0: eta 1.000000 x scale 1.000000 = 1.000000 (cooldown_frac 0.7, shape linear, eta_scale 1.0, eta_scale_after_step None, eta_scale_after 1.0)
WD_FOLLOW_LR step=0 pattern=^blocks\..*\.weight$ wd=0.1
step:1/3080 train_time:71.518s step_avg:71518.33ms
step:2/3080 train_time:71.846s step_avg:35923.01ms
step:3/3080 train_time:72.185s step_avg:24061.64ms
step:4/3080 train_time:72.527s step_avg:18131.63ms
step:5/3080 train_time:72.869s step_avg:14573.85ms
step:6/3080 train_time:73.214s step_avg:12202.39ms
step:7/3080 train_time:73.557s step_avg:10508.08ms
step:8/3080 train_time:73.900s step_avg:9237.48ms
step:9/3080 train_time:74.244s step_avg:8249.38ms
step:10/3080 train_time:74.589s step_avg:7458.89ms
step:11/3080 train_time:74.933s step_avg:6812.08ms
step:12/3080 train_time:75.278s step_avg:6273.13ms
step:13/3080 train_time:75.622s step_avg:5817.09ms
step:14/3080 train_time:75.970s step_avg:5426.42ms
step:15/3080 train_time:76.312s step_avg:5087.47ms
step:16/3080 train_time:76.658s step_avg:4791.13ms
step:17/3080 train_time:77.003s step_avg:4529.59ms
step:18/3080 train_time:77.350s step_avg:4297.20ms
step:19/3080 train_time:77.694s step_avg:4089.16ms
step:20/3080 train_time:78.039s step_avg:3901.93ms
step:21/3080 train_time:78.385s step_avg:3732.60ms
step:22/3080 train_time:78.730s step_avg:3578.64ms
step:23/3080 train_time:79.075s step_avg:3438.06ms
step:24/3080 train_time:79.421s step_avg:3309.21ms
step:25/3080 train_time:79.766s step_avg:3190.65ms
step:26/3080 train_time:80.112s step_avg:3081.23ms
step:27/3080 train_time:80.458s step_avg:2979.92ms
step:28/3080 train_time:80.804s step_avg:2885.87ms
step:29/3080 train_time:81.151s step_avg:2798.30ms
step:30/3080 train_time:81.497s step_avg:2716.57ms
step:31/3080 train_time:81.843s step_avg:2640.11ms
step:32/3080 train_time:82.190s step_avg:2568.44ms
step:33/3080 train_time:82.536s step_avg:2501.09ms
step:34/3080 train_time:82.882s step_avg:2437.70ms
step:35/3080 train_time:83.230s step_avg:2377.99ms
step:36/3080 train_time:83.576s step_avg:2321.55ms
step:37/3080 train_time:83.926s step_avg:2268.26ms
step:38/3080 train_time:84.270s step_avg:2217.64ms
step:39/3080 train_time:84.616s step_avg:2169.65ms
step:40/3080 train_time:84.963s step_avg:2124.07ms
step:41/3080 train_time:85.309s step_avg:2080.70ms
step:42/3080 train_time:85.653s step_avg:2039.35ms
step:43/3080 train_time:86.000s step_avg:1999.99ms
step:44/3080 train_time:86.345s step_avg:1962.39ms
step:45/3080 train_time:86.692s step_avg:1926.50ms
step:46/3080 train_time:87.039s step_avg:1892.16ms
step:47/3080 train_time:87.386s step_avg:1859.27ms
step:48/3080 train_time:87.733s step_avg:1827.77ms
step:49/3080 train_time:88.079s step_avg:1797.54ms
step:50/3080 train_time:88.426s step_avg:1768.53ms
step:51/3080 train_time:88.774s step_avg:1740.67ms
step:52/3080 train_time:89.120s step_avg:1713.85ms
step:53/3080 train_time:89.467s step_avg:1688.06ms
step:54/3080 train_time:89.814s step_avg:1663.23ms
step:55/3080 train_time:90.162s step_avg:1639.30ms
step:56/3080 train_time:90.512s step_avg:1616.29ms
step:57/3080 train_time:90.857s step_avg:1593.98ms
step:58/3080 train_time:91.205s step_avg:1572.50ms
step:59/3080 train_time:91.553s step_avg:1551.75ms
step:60/3080 train_time:91.900s step_avg:1531.67ms
step:61/3080 train_time:92.247s step_avg:1512.25ms
step:62/3080 train_time:92.595s step_avg:1493.46ms
step:63/3080 train_time:92.941s step_avg:1475.25ms
step:64/3080 train_time:93.289s step_avg:1457.64ms
step:65/3080 train_time:93.637s step_avg:1440.56ms
step:66/3080 train_time:93.985s step_avg:1424.01ms
step:67/3080 train_time:94.332s step_avg:1407.94ms
step:68/3080 train_time:94.680s step_avg:1392.35ms
step:69/3080 train_time:95.026s step_avg:1377.19ms
step:70/3080 train_time:95.373s step_avg:1362.48ms
step:71/3080 train_time:95.722s step_avg:1348.20ms
step:72/3080 train_time:96.070s step_avg:1334.31ms
step:73/3080 train_time:96.420s step_avg:1320.82ms
step:74/3080 train_time:96.767s step_avg:1307.67ms
step:75/3080 train_time:97.115s step_avg:1294.86ms
step:76/3080 train_time:97.462s step_avg:1282.40ms
step:77/3080 train_time:97.811s step_avg:1270.28ms
step:78/3080 train_time:98.160s step_avg:1258.46ms
step:79/3080 train_time:98.507s step_avg:1246.93ms
step:80/3080 train_time:98.856s step_avg:1235.70ms
step:81/3080 train_time:99.204s step_avg:1224.74ms
step:82/3080 train_time:99.551s step_avg:1214.04ms
step:83/3080 train_time:99.900s step_avg:1203.61ms
step:84/3080 train_time:100.248s step_avg:1193.43ms
step:85/3080 train_time:100.595s step_avg:1183.47ms
step:86/3080 train_time:100.944s step_avg:1173.77ms
step:87/3080 train_time:101.292s step_avg:1164.28ms
step:88/3080 train_time:101.639s step_avg:1154.99ms
step:89/3080 train_time:101.987s step_avg:1145.92ms
step:90/3080 train_time:102.335s step_avg:1137.05ms
step:91/3080 train_time:102.684s step_avg:1128.39ms
step:92/3080 train_time:103.032s step_avg:1119.91ms
step:93/3080 train_time:103.382s step_avg:1111.64ms
step:94/3080 train_time:103.729s step_avg:1103.50ms
step:95/3080 train_time:104.078s step_avg:1095.55ms
step:96/3080 train_time:104.426s step_avg:1087.77ms
step:97/3080 train_time:104.775s step_avg:1080.16ms
step:98/3080 train_time:105.122s step_avg:1072.68ms
step:99/3080 train_time:105.471s step_avg:1065.36ms
step:100/3080 train_time:105.821s step_avg:1058.21ms
step:101/3080 train_time:106.169s step_avg:1051.18ms
step:102/3080 train_time:106.517s step_avg:1044.28ms
step:103/3080 train_time:106.866s step_avg:1037.53ms
step:104/3080 train_time:107.214s step_avg:1030.91ms
step:105/3080 train_time:107.563s step_avg:1024.40ms
step:106/3080 train_time:107.912s step_avg:1018.04ms
step:107/3080 train_time:108.259s step_avg:1011.77ms
step:108/3080 train_time:108.607s step_avg:1005.62ms
step:109/3080 train_time:108.956s step_avg:999.60ms
step:110/3080 train_time:109.306s step_avg:993.69ms
step:111/3080 train_time:109.654s step_avg:987.87ms
step:112/3080 train_time:110.004s step_avg:982.18ms
step:113/3080 train_time:110.351s step_avg:976.56ms
step:114/3080 train_time:110.701s step_avg:971.06ms
step:115/3080 train_time:111.049s step_avg:965.64ms
step:116/3080 train_time:111.399s step_avg:960.34ms
step:117/3080 train_time:111.746s step_avg:955.09ms
step:118/3080 train_time:112.095s step_avg:949.96ms
step:119/3080 train_time:112.444s step_avg:944.90ms
step:120/3080 train_time:112.793s step_avg:939.94ms
step:121/3080 train_time:113.141s step_avg:935.05ms
step:122/3080 train_time:113.489s step_avg:930.24ms
step:123/3080 train_time:113.838s step_avg:925.51ms
step:124/3080 train_time:114.187s step_avg:920.86ms
step:125/3080 train_time:114.535s step_avg:916.28ms
step:126/3080 train_time:114.884s step_avg:911.78ms
step:127/3080 train_time:115.233s step_avg:907.34ms
step:128/3080 train_time:115.581s step_avg:902.97ms
step:129/3080 train_time:115.930s step_avg:898.68ms
step:130/3080 train_time:116.279s step_avg:894.45ms
step:131/3080 train_time:116.628s step_avg:890.29ms
step:132/3080 train_time:116.977s step_avg:886.19ms
step:133/3080 train_time:117.325s step_avg:882.14ms
step:134/3080 train_time:117.675s step_avg:878.17ms
step:135/3080 train_time:118.024s step_avg:874.25ms
step:136/3080 train_time:118.372s step_avg:870.38ms
step:137/3080 train_time:118.720s step_avg:866.57ms
step:138/3080 train_time:119.068s step_avg:862.81ms
step:139/3080 train_time:119.418s step_avg:859.12ms
step:140/3080 train_time:119.766s step_avg:855.47ms
step:141/3080 train_time:120.114s step_avg:851.88ms
step:142/3080 train_time:120.462s step_avg:848.33ms
step:143/3080 train_time:120.811s step_avg:844.83ms
step:144/3080 train_time:121.160s step_avg:841.39ms
step:145/3080 train_time:121.508s step_avg:837.99ms
step:146/3080 train_time:121.857s step_avg:834.64ms
