step:72/3080 train_time:95.876s step_avg:1331.61ms
step:73/3080 train_time:96.224s step_avg:1318.13ms
step:74/3080 train_time:96.571s step_avg:1305.01ms
step:75/3080 train_time:96.919s step_avg:1292.25ms
step:76/3080 train_time:97.267s step_avg:1279.83ms
step:77/3080 train_time:97.614s step_avg:1267.71ms
step:78/3080 train_time:97.961s step_avg:1255.91ms
step:79/3080 train_time:98.309s step_avg:1244.41ms
step:80/3080 train_time:98.656s step_avg:1233.20ms
step:81/3080 train_time:99.004s step_avg:1222.27ms
step:82/3080 train_time:99.353s step_avg:1211.62ms
step:83/3080 train_time:99.702s step_avg:1201.23ms
step:84/3080 train_time:100.048s step_avg:1191.05ms
step:85/3080 train_time:100.396s step_avg:1181.13ms
step:86/3080 train_time:100.744s step_avg:1171.44ms
step:87/3080 train_time:101.092s step_avg:1161.98ms
step:88/3080 train_time:101.441s step_avg:1152.74ms
step:89/3080 train_time:101.788s step_avg:1143.69ms
step:90/3080 train_time:102.135s step_avg:1134.83ms
step:91/3080 train_time:102.484s step_avg:1126.20ms
step:92/3080 train_time:102.832s step_avg:1117.74ms
step:93/3080 train_time:103.181s step_avg:1109.47ms
step:94/3080 train_time:103.527s step_avg:1101.36ms
step:95/3080 train_time:103.876s step_avg:1093.43ms
step:96/3080 train_time:104.224s step_avg:1085.66ms
step:97/3080 train_time:104.571s step_avg:1078.05ms
step:98/3080 train_time:104.921s step_avg:1070.62ms
step:99/3080 train_time:105.267s step_avg:1063.30ms
step:100/3080 train_time:105.616s step_avg:1056.16ms
step:101/3080 train_time:105.963s step_avg:1049.14ms
step:102/3080 train_time:106.311s step_avg:1042.27ms
step:103/3080 train_time:106.660s step_avg:1035.53ms
step:104/3080 train_time:107.007s step_avg:1028.91ms
step:105/3080 train_time:107.356s step_avg:1022.43ms
step:106/3080 train_time:107.703s step_avg:1016.07ms
step:107/3080 train_time:108.051s step_avg:1009.83ms
step:108/3080 train_time:108.400s step_avg:1003.70ms
step:109/3080 train_time:108.747s step_avg:997.68ms
step:110/3080 train_time:109.097s step_avg:991.79ms
step:111/3080 train_time:109.445s step_avg:985.99ms
step:112/3080 train_time:109.793s step_avg:980.29ms
step:113/3080 train_time:110.141s step_avg:974.70ms
step:114/3080 train_time:110.489s step_avg:969.20ms
step:115/3080 train_time:110.838s step_avg:963.81ms
step:116/3080 train_time:111.186s step_avg:958.50ms
step:117/3080 train_time:111.534s step_avg:953.28ms
step:118/3080 train_time:111.882s step_avg:948.16ms
step:119/3080 train_time:112.231s step_avg:943.11ms
step:120/3080 train_time:112.579s step_avg:938.16ms
step:121/3080 train_time:112.928s step_avg:933.29ms
step:122/3080 train_time:113.277s step_avg:928.50ms
step:123/3080 train_time:113.626s step_avg:923.79ms
step:124/3080 train_time:113.975s step_avg:919.15ms
step:125/3080 train_time:114.324s step_avg:914.59ms
step:126/3080 train_time:114.672s step_avg:910.10ms
step:127/3080 train_time:115.020s step_avg:905.67ms
step:128/3080 train_time:115.367s step_avg:901.31ms
step:129/3080 train_time:115.716s step_avg:897.02ms
step:130/3080 train_time:116.064s step_avg:892.80ms
step:131/3080 train_time:116.413s step_avg:888.65ms
step:132/3080 train_time:116.760s step_avg:884.55ms
step:133/3080 train_time:117.108s step_avg:880.51ms
step:134/3080 train_time:117.456s step_avg:876.54ms
step:135/3080 train_time:117.804s step_avg:872.62ms
step:136/3080 train_time:118.152s step_avg:868.77ms
step:137/3080 train_time:118.500s step_avg:864.96ms
step:138/3080 train_time:118.848s step_avg:861.22ms
step:139/3080 train_time:119.197s step_avg:857.53ms
step:140/3080 train_time:119.546s step_avg:853.90ms
step:141/3080 train_time:119.894s step_avg:850.31ms
step:142/3080 train_time:120.242s step_avg:846.78ms
step:143/3080 train_time:120.590s step_avg:843.28ms
step:144/3080 train_time:120.937s step_avg:839.84ms
step:145/3080 train_time:121.286s step_avg:836.46ms
step:146/3080 train_time:121.635s step_avg:833.11ms
step:147/3080 train_time:121.982s step_avg:829.81ms
step:148/3080 train_time:122.331s step_avg:826.56ms
step:149/3080 train_time:122.679s step_avg:823.35ms
step:150/3080 train_time:123.028s step_avg:820.19ms
