W0918 10:29:19.972000 997536 torch/distributed/run.py:851] 
W0918 10:29:19.972000 997536 torch/distributed/run.py:851] *****************************************
W0918 10:29:19.972000 997536 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0918 10:29:19.972000 997536 torch/distributed/run.py:851] *****************************************
pg_timeout_shim: process-group timeout set to 300s
NCCL version 2.28.9+cuda12.9
[W918 10:29:27.701423550 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 10:29:27.706308877 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 10:29:27.706537236 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 10:29:27.706796038 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 10:29:27.708830453 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 10:29:27.710779875 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 10:29:27.711176633 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 10:29:27.711281169 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
logs/d2773efe-1104-47ca-ac40-6b01cac1735e.txt
data shard loaded: /root/muoff/data/fineweb10B/fineweb_val_000000.bin (100000000 tokens; batch 10485760 tokens)
step:0/3080 val_loss:10.82584 train_time:0.001s step_avg:nanms
data shard loaded: /root/muoff/data/fineweb10B/fineweb_train_000001.bin (100000000 tokens; batch 524288 tokens)
